    year                   entrant           chassis           engine  points
0   1953                 hw motors            hwm 53             alta       0
1   1953     connaught engineering  connaught type a      lea francis       0
2   1955     connaught engineering  connaught type b             alta       0
3   1956     connaught engineering  connaught type b             alta       5
4   1957  owen racing organisation           brm p25              brm       0
5   1958             bc ecclestone  connaught type b             alta       0
6   1958        cooper car company        cooper t45  coventry climax       0
7   1959    high efficiency motors        cooper t45  coventry climax       0
8   1959    high efficiency motors        cooper t45         maserati       0
9   1960                 ct atkins        cooper t51  coventry climax       0
10  1961         rob walker racing      ferguson p99  coventry climax       0
11  1961            fred tuck cars        cooper t45  coventry climax       0
