             name  year began  s registered user  updated in past 30 days                           registration        ability to syndicate off - site feeds  userpics free  userpics paid  monthly cost for paid account  yearly cost for paid account  permanent account
0            asks        2006              13127                       31                                   open                                      unknown              3        unknown                        unknown                       unknown            unknown
1          blurty        2002            2255607                     1899             open to people 18 and over                                    paid only              3          n / a                          n / a                         n / a              n / a
2     deadjournal        2001             456302                      638       invite - only or paid ( openid )                                    all users              5             50                        2.5 usd                        15 usd              n / a
3      dreamwidth        2008            2038232                    32798  open to people 13 and over ( openid )                                    all users             15      100 / 250                          3 usd                  35 to 50 usd            200 usd
4           grab!        2011                280                       19                        open ( openid )                                    all users              6          n / a                          n / a                         n / a              n / a
5   insanejournal        2001            3983438                    18653  open to people 13 and over ( openid )  paid users can create , free users can read            100            250                          5 usd                        25 usd              n / a
6         ivanovo        2005              15088                      206                                   open                                      unknown             20        unknown                        unknown                       unknown            unknown
7      journalfen        2003              19963                      361                  invite - only or paid  paid users can create , free users can read             10     500 / 1000                          n / a                   24 / 36 usd              n / a
8         kraslan        2006               2340                      141                                   open                                      unknown        unknown        unknown                        unknown                       unknown            unknown
9     livejournal        1999           42550922                  1150344  open to people 13 and over ( openid )  paid users can create , free users can read              6             30                          3 usd                     19.95 usd            175 usd
10    ljrossiaorg        2005              49420                     1675                                   open                                    all users            100          n / a                          n / a                         n / a              n / a
11       scribbld        2007              29094                      686                        open ( openid )                                    paid only              6             50                          5 usd                     20.00 usd              n / a
12   sviesta ciba        2002              28919                    10324             open to people 13 and over                                      unknown        unknown        unknown                        unknown                       unknown            unknown
13           name  year began  s registered user  updated in past 30 days                           registration                                    rss feeds  userpics free  userpics paid  monthly cost for paid account  yearly cost for paid account  permanent account
