              player                    club  league  fa cup  fa trophy  league cup  total
0        paul dobson               gateshead      25       3          4           2     34
1        karl thomas                 runcorn      23       0          5           2     30
2        paul adcock               bath city      17       4          1           0     22
3      terry robbins          welling united      17       0          2           2     21
4     mickey spencer             yeovil town      16       0          1           1     18
5       clive walker                  woking      16       0          3           0     19
6       david gamble               southport      15       2          2           0     19
7     david leworthy          dover athletic      15       1          1           3     20
8        carl alford       macclesfield town      14       3          2           6     25
9        paul davies  kidderminster harriers      14       1          0           3     18
10      morrys scott             slough town      14       2          1           0     17
11      recky carter       bromsgrove rovers      13       3          2           0     18
12    jamie paterson            halifax town      13       0          2           1     16
13  delwyn humphreys  kidderminster harriers      13       3          0           1     17
