   round  pick                             player          position        school / club team
0      1     2                      leonard davis            tackle                     texas
1      2    34                  kyle vanden bosch     defensive end                  nebraska
2      2    54                      michael stone    defensive back                   memphis
3      3    64  adrian wilson (american football)    defensive back      north carolina state
4      4    98                     bill gramatica            kicker             south florida
5      4   123                        marcus bell  defensive tackle                   memphis
6      5   133                     mario fatafehi  defensive tackle              kansas state
7      6   166                     bobby newcombe     wide receiver                  nebraska
8      7   202                       renaldo hill    defensive back            michigan state
9      7   246                  tevita ofahengaue         tight end  brigham young university
