           nation  gold  silver  bronze  total
0   united states    12       6       7     25
1          russia     4       4       2     10
2           spain     4       2       2      8
3           china     3       5       6     14
4          france     3       3       2      8
5     netherlands     3       2       1      6
6          brazil     3       1       4      8
7    south africa     2       1       0      3
8       australia     1       7       3     11
9         tunisia     1       1       2      4
10        germany     1       1       1      3
11         sweden     1       1       1      3
12      venezuela     1       1       0      2
13          japan     1       0       0      1
14        denmark     0       1       2      3
15        hungary     0       1       2      3
16        austria     0       1       1      2
17          italy     0       1       1      2
18  great britain     0       1       0      1
19        ukraine     0       1       0      1
20        bahamas     0       0       1      1
21         norway     0       0       1      1
22          total    40      41      39    120
