                           tournament                               2001                               2002                               2003                               2004                               2005                               2006                               2007                               2008                               2009                               2010                               2011                               2012                               2013
0              grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments
1                     australian open                                  a                                  a                                  a                                  a                                  a                                  a                                 1r                                 q1                                 1r                                 1r                                  a                                 2r                                  a
2                         french open                                  a                                  a                                  a                                  a                                  a                                  a                                 1r                                 3r                                 4r                                 3r                                 2r                                 3r                                  a
3                           wimbledon                                  a                                  a                                  a                                  a                                  a                                  a                                 1r                                 2r                                 1r                                 2r                                 1r                                 2r                                  a
4                             us open                                  a                                  a                                  a                                  a                                  a                                  a                                 1r                                 1r                                 3r                                 1r                                 1r                                 2r                                 2r
5                          win - loss                              0 - 0                              0 - 0                              0 - 0                              0 - 0                              0 - 0                              0 - 0                              0 - 4                              3 - 3                              5 - 4                              3 - 4                              1 - 3                              5 - 4                              1 - 1
6                       olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games
7                     summer olympics                           not held                           not held                           not held                                  a                           not held                           not held                           not held                                  a                           not held                           not held                           not held                                 2r                                 nh
8            year - end championships           year - end championships           year - end championships           year - end championships           year - end championships           year - end championships           year - end championships           year - end championships           year - end championships           year - end championships           year - end championships           year - end championships           year - end championships           year - end championships
9              wta tour championships                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a
10  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments
11                       indian wells                                  a                                  a                                  a                                  a                                  a                                  a                                 1r                                 q2                                 3r                                 2r                                 q1                                 1r                                  a
12                              miami                                  a                                  a                                  a                                  a                                 q1                                  a                                 1r                                 2r                                 2r                                 2r                                  a                                 3r                                 1r
13                             madrid                           not held                           not held                           not held                           not held                           not held                           not held                           not held                           not held                                 2r                                 1r                                  a                                  a                                  a
14                            beijing                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                                 3r                                  a                                  a                                  a                                 1r
15          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments
16                               doha                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                                  a                             not p5                             not p5                             not p5                                 1r                                  a
17                              dubai                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                                  a                                  a                                  a                                np5                                np5
18                               rome                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                 2r                                  a                                  a                                 1r                                  a
19                             canada                                  a                                  a                                 q1                                 1r                                 1r                                 1r                                 2r                                 2r                                 1r                                 1r                                 2r                                 qf                                  a
20                         cincinnati                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                                 2r                                  a                                  a                                  a                                  a
21                              tokyo                                  a                                  a                                  a                                  a                                  a                                 q1                                  a                                 1r                                 3r                                  a                                  a                                  a                                 2r
22                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics
23                 tournaments played                                  1                                  4                                  4                                  6                                 15                                 26                                 28                                 23                                 25                                 18                                 15                                 21                                  7
24                    titles - finals                              0 - 0                              0 - 0                              0 - 0                              0 - 0                              0 - 0                              0 - 0                              0 - 1                              1 - 0                              0 - 1                              0 - 0                              0 - 0                              0 - 0                              0 - 0
25                 overall win - loss                              2 - 1                             11 - 3                              2 - 4                             11 - 6                            44 - 13                            43 - 24                            22 - 29                            40 - 22                            30 - 25                            14 - 18                            28 - 14                            35 - 19                              2 - 7
26                              win %                                67%                                79%                                33%                                65%                                79%                                64%                                43%                                65%                                55%                                44%                                67%                                65%                                22%
27                 year - end ranking                                  -                                569                                878                                491                                190                                 91                                130                                 34                                 35                                126                                105                                 43                                277
