    episode  prod                                 title       directed by        written by    originalairdate           filmed
0         1   106                           state visit        john moxey    jim o'connolly      18 march 1965  aug / sept 1964
1         2   102                           the 'v' men     cyril frankel     alan falconer      25 march 1965        july 1964
2         3   107                           the firebug    roy ward baker    david chantler       1 april 1965        sept 1964
3         4   109                           the big fix        james hill  jack whittingham       8 april 1965        sept 1964
4         5   112                       the housekeeper     leslie norman    david chantler      15 april 1965         oct 1964
5         6   108                        the ladykiller     leslie norman    david chantler      22 april 1965        sept 1964
6         7   103                      to catch a tiger     leslie norman    iain maccormck      29 april 1965        july 1964
7         8   111                big fish , little fish     cyril frankel     alan falconer         6 may 1965         oct 1964
8         9   105                         the white rat    roy ward baker    harry w junkin        13 may 1965         aug 1964
9        10   115  how to retire without really working    george pollock      norman hudis        20 may 1965   nov - dec 1964
10       11   117                     subway to revenge    roy ward baker      norman hudis        27 may 1965       jan , 1965
11       12   122               the great plane robbery     leslie norman     alan falconer        3 june 1965   mar - apr 1965
12       13   118                              gang war  quentin lawrence    david chantler       10 june 1965   jan - feb 1965
13       14   101                           the tin god      john gilling     harry wjunkin       17 june 1965   jun - jul 1964
14       15   119                         the alibi men     cyril frankel   iain maccormick       24 june 1965         feb 1965
15       16   116                              the wall     leslie norman    david chantler  16 september 1965         jan 1965
16       17   121                     the thin red line     cyril frankel   iain maccormick    3 february 1966       march 1965
17       18   126                       a perfect crime     leslie norman     alan falconer   10 february 1966         may 1965
18       19   124           the millionaire 's daughter     cyril frankel      norman hudis   17 february 1966       april 1965
19       20   110                                 morna     cyril frankel     alan falconer   24 february 1966         oct 1964
20       21   125                          boy with gun    jeremy summers   iain maccormick       3 march 1966         may 1965
21       22   114                 fall high , fall hard     leslie norman     malcolm hulke      15 april 1966         nov 1964
22       23   120                           the prowler    robert tronson     harry wjunkin      22 april 1966       march 1965
23       24   123                 the reluctant witness    jeremy summers      norman hudis      26 april 1966       april 1965
24       25   104              the rhyme and the reason      john gilling  jack whittingham         3 may 1966         aug 1964
