       date                                          course  distance                     type                      winner            race leader
0    24 may                                  milan to turin         -              plain stage       renzo zanazzi ( ita )  renzo zanazzi ( ita )
1    25 may                                  turin to genoa         -              plain stage        gino bartali ( ita )  renzo zanazzi ( ita )
2    26 may                          genoa to reggio emilia         -  stage with mountain (s)     luciano maggini ( ita )  renzo zanazzi ( ita )
3    27 may                          reggio emilia to prato         -  stage with mountain (s)        fausto coppi ( ita )   gino bartali ( ita )
4    28 may                                        rest day  rest day                 rest day                    rest day               rest day
5    29 may                prato to bagni di casciana terme         -              plain stage     luciano maggini ( ita )   gino bartali ( ita )
6    29 may             bagni di casciana terme to florence         -              plain stage       renzo zanazzi ( ita )   gino bartali ( ita )
7    30 may                             florence to perugia         -              plain stage     giordano cottur ( ita )   gino bartali ( ita )
8    31 may                                 perugia to rome         -  stage with mountain (s)        oreste conte ( ita )   gino bartali ( ita )
9    1 june                                  rome to naples         -              plain stage        fausto coppi ( ita )   gino bartali ( ita )
10   2 june                                        rest day  rest day                 rest day                    rest day               rest day
11   3 june                                  naples to bari         -  stage with mountain (s)      elio bertocchi ( ita )   gino bartali ( ita )
12   4 june                                  bari to foggia         -              plain stage         mario ricci ( ita )   gino bartali ( ita )
13   5 june                               foggia to pescara         -              plain stage        oreste conte ( ita )   gino bartali ( ita )
14   6 june                                        rest day  rest day                 rest day                    rest day               rest day
15   7 june                           pescara to cesenatico         -              plain stage   giovanni corrieri ( ita )   gino bartali ( ita )
16   8 june                             cesenatico to padua         -              plain stage  antonio bevilacqua ( ita )   gino bartali ( ita )
17   9 june                        padua to vittorio veneto         -              plain stage        adolfo leoni ( ita )   gino bartali ( ita )
18  10 june              vittorio veneto to pieve di cadore         -  stage with mountain (s)        gino bartali ( ita )   gino bartali ( ita )
19  11 june                                        rest day  rest day                 rest day                    rest day               rest day
20  12 june                       pieve di cadore to trento         -  stage with mountain (s)        fausto coppi ( ita )   fausto coppi ( ita )
21  13 june                  trento to brescia sant'eufemia         -              plain stage        adolfo leoni ( ita )   fausto coppi ( ita )
22  14 june  brescia sant'eufemia to lugano ( switzerland )         -              plain stage       giulio bresci ( ita )   fausto coppi ( ita )
23  15 june                 lugano ( switzerland ) to milan         -  stage with mountain (s)        adolfo leoni ( ita )   fausto coppi ( ita )
24    total                                           total         -                  km (mi)                           -                km (mi)
