    medal               name             games      sport                         event
0  silver  mohammed gammoudi        1964 tokyo  athletics                men 's 10000 m
1  bronze       habib galhia        1964 tokyo     boxing     men 's light welterweight
2    gold  mohammed gammoudi  1968 mexico city  athletics                 men 's 5000 m
3  bronze  mohammed gammoudi  1968 mexico city  athletics                men 's 10000 m
4  silver  mohammed gammoudi       1972 munich  athletics                 men 's 5000 m
5  bronze     fethi missaoui      1996 atlanta     boxing     men 's light welterweight
6    gold   oussama mellouli      2008 beijing   swimming       men 's 1500 m freestyle
7  bronze   oussama mellouli       2012 london   swimming       men 's 1500 m freestyle
8  silver      habiba ghribi       2012 london  athletics  women 's 3000 m steeplechase
9    gold   oussama mellouli       2012 london   swimming         men 's 10 km marathon
