           country  preliminary  interview  swimsuit  evening gown  average
0       california        8.435      8.861     9.211         9.200    9.090
1            texas        8.671      9.322     9.177         9.300    9.266
2   south carolina        8.075      8.733     8.650         8.744    8.709
3        louisiana        8.147      8.644     8.800         8.900    8.781
4     north dakota        7.949      8.955     8.300         8.422    8.559
5         oklahoma        7.844      8.688     8.266         8.566    8.506
6           nevada        8.147      8.011     8.866         8.322    8.399
7       washington        8.207      7.977     8.577         8.633    8.395
8         michigan        7.864      8.525     8.366         8.272    8.387
9     pennsylvania        8.035      8.166     8.555         8.377    8.366
10         georgia        7.903      7.655     8.588         8.755    8.332
