        region                                      host                                                  venue          city           state
0      or west            northeast louisiana university                                         ewing coliseum        monroe       louisiana
1      or east                         dartmouth college                                       alumni gymnasium       hanover   new hampshire
2   or mideast                       la salle university                           hayman hall (tom gola arena)  philadelphia    pennsylvania
3   or midwest                  jackson state university                               williams assembly center       jackson     mississippi
4         east                   old dominion university                     old dominion university fieldhouse       norfolk        virginia
5         east     university of maryland , college park                                       cole field house  college park        maryland
6         east  cheyney state university of pennsylvania                                              cope hall       cheyney    pennsylvania
7         east           north carolina state university                                      reynolds coliseum       raleigh  north carolina
8      mideast                   university of tennessee                                stokely athletic center     knoxville       tennessee
9      mideast                    university of kentucky                                      memorial coliseum     lexington        kentucky
10     mideast                 university of mississippi                                     tad smith coliseum    university     mississippi
11     mideast                     university of georgia                   georgia coliseum (stegeman coliseum)        athens         georgia
12     midwest                   kansas state university                                     ahearn field house     manhattan          kansas
13     midwest                 louisiana tech university                                 thomas assembly center        ruston       louisiana
14     midwest                         auburn university  memorial coliseum (beard - eaves - memorial coliseum)        auburn         alabama
15     midwest             university of texas at austin                                     frank erwin center        austin           texas
16        west  california state university , long beach                             university gym (gold mine)    long beach      california
17        west                  arizona state university         university activity center (wells fargo arena)         tempe         arizona
18        west         university of southern california                      los angeles memorial sports arena   los angeles      california
19        west                   oregon state university                                          gill coliseum     corvallis          oregon
