    year  class       team  points  wins
0   1954  350cc     norton       0     0
1   1954  500cc     norton       0     0
2   1955  350cc     norton       0     0
3   1955  500cc     norton       1     0
4   1958  350cc        ajs       0     0
5   1958  500cc  matchless       0     0
6   1962  350cc     norton       0     0
7   1962  500cc     norton       0     0
8   1963  125cc     ducati       0     0
9   1963  350cc     norton       4     0
10  1963  500cc     norton       5     1
11  1964  125cc      honda       0     0
12  1964  250cc     suzuki       0     0
13  1964  350cc     norton       1     0
14  1964  500cc     norton      25     1
15  1965  500cc     norton       9     0
16  1966  350cc     norton       8     0
17  1966  500cc     norton      13     0
18  1974  350cc     yamaha       0     0
