   place              player        country  score to par
0      1          hale irwin  united states     69    - 2
1     t2  bobby clampett (a)  united states     70    - 1
2     t2          andy north  united states     70    - 1
3     t2           j c snead  united states     70    - 1
4     t5          bill brask  united states     71      e
5     t5        billy casper  united states     71      e
6     t5        al geiberger  united states     71      e
7     t5        phil hancock  united states     71      e
8     t5         gary player   south africa     71      e
9     t5       dave stockton  united states     71      e
10    t5       bobby wadkins  united states     71      e
