       discipline                         contested  number of olympiads  gold  silver  bronze  total
0        baseball                       1992 - 2008                    5     5       5       5     15
1   basque pelota                              1900                    1     1       1       0      2
2         cricket                              1900                    1     1       1       0      2
3         croquet                              1900                    1     3       2       2      7
4    jeu de paume                              1908                    1     1       1       1      3
5        lacrosse                       1904 - 1908                    2     2       2       1      5
6            polo  1900 , 1908 , 1920 , 1924 , 1936                    5     5       6       5     16
7         rackets                              1908                    1     2       2       3      7
8           roque                              1904                    1     1       1       1      3
9        softball                       1996 - 2008                    4     4       4       4     12
10     tug of war                       1900 - 1920                    5     5       5       3     13
