           country  men 's open  women 's open  men 's wheelchair  women 's wheelchair  total
0    united states           44             15                 12                   25     96
1            kenya           20             10                  0                    0     30
2           canada           16              1                  4                    0     21
3            japan            8              0                  3                    5     16
4      switzerland            0              0                  7                    2      9
5     south africa            0              0                  9                    0      9
6         ethiopia            4              4                  0                    0      8
7          finland            7              0                  0                    0      7
8          germany            1              5                  0                    0      6
9        australia            1              0                  0                    4      5
10          russia            0              4                  0                    0      4
11          france            0              0                  3                    0      3
12     new zealand            1              2                  0                    0      3
13        portugal            0              3                  0                    0      3
14     south korea            3              0                  0                    0      3
15  united kingdom            3              0                  0                    0      3
16         belgium            2              0                  0                    0      2
17          norway            0              2                  0                    0      2
18        colombia            1              0                  0                    0      1
19         denmark            0              0                  0                    1      1
20          greece            1              0                  0                    0      1
21       guatemala            1              0                  0                    0      1
22         ireland            1              0                  0                    0      1
23           italy            1              0                  0                    0      1
24          poland            0              1                  0                    0      1
25          sweden            1              0                  0                    0      1
26      yugoslavia            1              0                  0                    0      1
