    year  class    team  points  wins
0   1969  125cc   villa       5     0
1   1969  250cc  yamaha       8     0
2   1970  125cc   villa       5     0
3   1970  250cc  yamaha      30     0
4   1970  350cc  yamaha      15     0
5   1971  125cc  yamaha      48     1
6   1971  250cc  yamaha      42     0
7   1972  125cc  yamaha      87     1
8   1972  250cc  yamaha      18     0
9   1972  350cc  yamaha       0     0
10  1972  500cc  yamaha      42     1
11  1973  125cc  yamaha      75     1
12  1973  250cc  yamaha      40     0
13  1973  500cc  yamaha       8     0
14  1974  250cc  yamaha      41     1
15  1974  350cc  yamaha      29     0
16  1974  500cc  yamaha       4     0
17  1975  250cc  yamaha      46     1
18  1975  350cc  yamaha      31     0
19  1975  500cc  yamaha      23     0
20  1976  250cc  yamaha      31     0
21  1976  350cc  yamaha      54     1
22  1976  500cc  yamaha      16     0
23  1977  250cc  yamaha       5     0
24  1977  350cc  yamaha       1     0
25  1978  250cc  yamaha      12     0
26  1979  250cc  yamaha      14     0
27  1984  250cc  yamaha       0     0
