    tie no                home team  score          away team        attendance
0        1                liverpool  1 - 1          wimbledon             25124
1   replay                wimbledon  0 - 2          liverpool             12553
2        2                  watford  0 - 0     crystal palace  18 february 1995
3   replay           crystal palace  1 - 0            watford      1 march 1995
4        3  wolverhampton wanderers  1 - 0     leicester city  18 february 1995
5        4                  everton  5 - 0       norwich city  18 february 1995
6        5         newcastle united  3 - 1    manchester city  19 february 1995
7        6        tottenham hotspur  1 - 1        southampton  18 february 1995
8   replay              southampton  2 - 6  tottenham hotspur      1 march 1995
9        7      queens park rangers  1 - 0           millwall  18 february 1995
10       8        manchester united  3 - 1       leeds united  19 february 1995
