      week                           theme              song choice       original artist  order                  result
0   top 80                           n / a         jeritan batin ku              p ramlee  n / a                advanced
1   top 60                              na  juwita (citra terindah)               m nasir     na                advanced
2   top 40                              na     mentera semerah padi               m nasir     na                advanced
3   top 20                              na             belaian jiwa              carefree     na                advanced
4   top 12              contestants choice                     coba          faizal tahir     10                    safe
5   top 11                 memori tercipta      rahsia pohon cemara                 exist      8                    safe
6   top 10              contestants choice            crazy in love               beyoncé     10                    safe
7    top 9                songwriters week        la la la kerjalah    meet uncle hussein      5  safe (immunity winner)
8    top 8               opposites attract                  gantung         melly goeslaw      1                    safe
9    top 7              contestants choice          ingin bersamamu              syafinaz      7  safe (immunity winner)
10   top 6              contestants choice                 umbrella               rihanna      1                    safe
11   top 5             sheila majid s song         aku cinta padamu          sheila majid      5                    safe
12   top 3  judge 's choice viewers choice       crazy in love coba  beyoncé faizal tahir    1 3                    safe
