    round  pick  overall              name          position               college
0       1     9        9        rick bryan  defensive tackle              oklahoma
1       2     4       32        scott case    defensive back              oklahoma
2       2     8       36     thomas benson        linebacker              oklahoma
3       3     7       63       rod mcswain        cornerback               clemson
4       4    10       94   rydell malancon        linebacker                   lsu
5       5    20      132      cliff benson         tight end                purdue
6       6     8      148       ben bennett       quarterback                  duke
7       6    23      163         dan ralph  defensive tackle                oregon
8       7     7      175        kirk dodge        linebacker                  unlv
9       8    10      206      jeff jackson        linebacker                auburn
10      9     9      233         glen howe  offensive tackle  southern mississippi
11     10     8      260  derrick franklin    defensive back          fresno state
12     11     7      287      tommy norman     wide receiver         jackson state
13     12    10      318        don holmes     wide receiver            mesa state
