                                                match                                               date                                           location                                             lineup                                             result                                        competition
0                 sweden 1995 fifa women 's world cup                sweden 1995 fifa women 's world cup                sweden 1995 fifa women 's world cup                sweden 1995 fifa women 's world cup                sweden 1995 fifa women 's world cup                sweden 1995 fifa women 's world cup
1                                                   1                                     1995 - 06 - 05                                           karlstad                                              start                                            0 - 1 l                                        group stage
2                                                   2                                     1995 - 06 - 07                                           karlstad                                              start                                            2 - 1 w                                        group stage
3                                                   3                                     1995 - 06 - 09                                           vasteras                         off 76' ( on etsuko handa)                                            0 - 2 l                                        group stage
4   atlanta 1996 women 's olympic football tournament  atlanta 1996 women 's olympic football tournament  atlanta 1996 women 's olympic football tournament  atlanta 1996 women 's olympic football tournament  atlanta 1996 women 's olympic football tournament  atlanta 1996 women 's olympic football tournament
5                                                   4                                     1996 - 07 - 21                                    birmingham , al                                              start                                            2 - 3 l                                        group stage
6                                                   5                                     1996 - 07 - 23                                    birmingham , al                                              start                                            0 - 2 l                                        group stage
7                                                   6                                     1996 - 07 - 25                                    washington , dc                                              start                                            0 - 4 l                                        group stage
8                  usa 1999 fifa women 's world cup |                 usa 1999 fifa women 's world cup |                 usa 1999 fifa women 's world cup |                 usa 1999 fifa women 's world cup |                 usa 1999 fifa women 's world cup |                 usa 1999 fifa women 's world cup |
9                                                   7                                     1999 - 06 - 19                                      san jose , ca                                              start                                            1 - 1 d                                        group stage
10                                                  8                                     1999 - 06 - 23                                      portland , or                                              start                                            0 - 5 l                                        group stage
11                                                  9                                     1999 - 06 - 26                                            chicago                                              start                                            0 - 4 l                                        group stage
12                   usa 2003 fifa women 's world cup                   usa 2003 fifa women 's world cup                   usa 2003 fifa women 's world cup                   usa 2003 fifa women 's world cup                   usa 2003 fifa women 's world cup                   usa 2003 fifa women 's world cup
13                                                 10                                     2003 - 09 - 20                                      columbus , oh                            off 80' ( on maruyama )                                            6 - 0 w                                        group stage
14                                                 11                                     2003 - 09 - 24                                      columbus , oh                                              start                                            0 - 3 l                                        group stage
15                                                 12                                     2003 - 09 - 27                                       foxboro , ma                                              start                                            1 - 3 l                                        group stage
16   athens 2004 women 's olympic football tournament   athens 2004 women 's olympic football tournament   athens 2004 women 's olympic football tournament   athens 2004 women 's olympic football tournament   athens 2004 women 's olympic football tournament   athens 2004 women 's olympic football tournament
17                                                 13                                     2004 - 08 - 11                                              volos                                              start                                            1 - 0 w                                        group stage
18                                                 14                                     2004 - 08 - 14                                            piraeus                                              start                                            0 - 1 l                                        group stage
19                                                 15                                     2004 - 08 - 20                                       thessaloniki                                              start                                            1 - 2 l                                    quarter - final
20                 china 2007 fifa women 's world cup                 china 2007 fifa women 's world cup                 china 2007 fifa women 's world cup                 china 2007 fifa women 's world cup                 china 2007 fifa women 's world cup                 china 2007 fifa women 's world cup
21                                                 16                                     2007 - 09 - 11                                           shanghai                                              start                                            2 - 2 d                                        group stage
22                                                 17                                     2007 - 09 - 14                                           shanghai                                              start                                            1 - 0 w                                        group stage
23                                                 18                                     2007 - 09 - 17                                           hangzhou                                              start                                            0 - 2 l                                        group stage
24  beijing 2008 women 's olympic football tournament  beijing 2008 women 's olympic football tournament  beijing 2008 women 's olympic football tournament  beijing 2008 women 's olympic football tournament  beijing 2008 women 's olympic football tournament  beijing 2008 women 's olympic football tournament
25                                                 19                                     2008 - 08 - 06                                        qinhuangdao                                      start , ( c )                                            2 - 2 d                                        group stage
26                                                 20                                     2008 - 08 - 09                                        qinhuangdao                                              start                                            0 - 1 l                                        group stage
27                                                 21                                     2008 - 08 - 12                                           shanghai                                              start                                            5 - 1 w                                        group stage
28                                                 22                                     2008 - 08 - 15                                        qinhuangdao                                              start                                            2 - 0 w                                    quarter - final
29                                                 23                                     2008 - 08 - 18                                            beijing                                              start                                            2 - 4 l                                          semifinal
30                                                 24                                     2008 - 08 - 21                                            beijing                                              start                                            0 - 2 l                                 bronze medal match
31                germay 2011 fifa women 's world cup                germay 2011 fifa women 's world cup                germay 2011 fifa women 's world cup                germay 2011 fifa women 's world cup                germay 2011 fifa women 's world cup                germay 2011 fifa women 's world cup
32                                                 25                                     2011 - 06 - 27                                             bochum                                      start , ( c )                                            2 - 1 w                                        group stage
33                                                 26                                     2011 - 07 - 01                                         leverkusen                      off 83' ( on utsugi ) , ( c )                                            4 - 0 w                                        group stage
34                                                 27                                     2011 - 07 - 05                                           augsburg                                      start , ( c )                                            0 - 2 l                                        group stage
35                                                 28                                     2011 - 07 - 09                                          wolfsburg                                      start , ( c )                                        1 - 0 aet w                                    quarter - final
36                                                 29                                     2011 - 07 - 13                                          frankfurt                                      start , ( c )                                            3 - 1 w                                          semifinal
37                                                 30                                     2011 - 07 - 17                                          frankfurt                                      start , ( c )                            2 - 2 (pso 3 - 1) ( w )                                              final
38   london 2012 women 's olympic football tournament   london 2012 women 's olympic football tournament   london 2012 women 's olympic football tournament   london 2012 women 's olympic football tournament   london 2012 women 's olympic football tournament   london 2012 women 's olympic football tournament
39                                                 31                                     2012 - 07 - 25                                           coventry                                              start                                            2 - 1 w                                        group stage
40                                                 32                                     2012 - 07 - 28                                           coventry                              off 59' ( on tanaka )                                            0 - 0 d                                        group stage
41                                                 33                                     2012 - 08 - 03                                            cardiff                                              start                                            2 - 0 w                                    quarter - final
42                                                 34                                     2012 - 08 - 06                                             london                                              start                                            2 - 1 w                                          semifinal
43                                                 35                                     2012 - 08 - 09                                             london                                              start                                            1 - 2 l                                   gold medal match
