    year                            entrant         chassis         engine  points
0   1986               osella squadra corse    osella fa1 g  alfa romeo v8       0
1   1987               osella squadra corse     osella fa1i  alfa romeo v8       0
2   1987               osella squadra corse    osella fa1 g  alfa romeo v8       0
3   1988                    scuderia italia    dallara 3087    cosworth v8       0
4   1988                    scuderia italia     dallara 188    cosworth v8       0
5   1989                    scuderia italia     dallara 189    cosworth v8       4
6   1990             footwork arrows racing     arrows a11b    cosworth v8       2
7   1991  footwork grand prix international   footwork a11c    porsche v12       0
8   1991  footwork grand prix international   footwork fa12    porsche v12       0
9   1991  footwork grand prix international  footwork fa12c    cosworth v8       0
10  1992                andrea moda formula      coloni c4b       judd v10       0
11  1992                andrea moda formula       moda s921       judd v10       0
