   place                 team  played  draw  lost  goals scored  goals conceded  points
0      1        san francisco      34     8     6            72              36      68
1      2                tauro      34    10     5            57              29      67
2      3          árabe unido      34    11     8            49              31      56
3      4  atlético veragüense      34    10    12            38              45      46
4      5         el chorrillo      34    11    12            45              42      44
5      6              alianza      34    10    13            41              46      43
6      7         plaza amador      34    10    14            45              54      40
7      8    atlético chiriquí      34    11    14            35              49      38
8      9         sporting '89      34    11    16            30              47      32
9     10          colón river      18     2    15            14              47       5
