           member countries  population  area (km square)  gdp (billion us)  gdp per capita (us)        languages
0                    cyprus      775927              9250            11.681                15054    greek turkish
1            czech republic    10246178             78866           105.248                10272            czech
2                   estonia     1341664             45226            22.384                16684         estonian
3                   hungary    10032375             93030        102183.000                10185        hungarian
4                    latvia     2306306             64589            24.826                10764          latvian
5                 lithuania     3607899             65200            31.971                 8861       lithuanian
6                     malta      396851               316             5.097                12843  english maltese
7                    poland    38580445            311904           316.438                 8202           polish
8                  slovakia     5423567             49036            42.800                 7810           slovak
9                  slovenia     2011473             20273            29.633                14732          slovene
10      accession countries    74722685            737690           685.123                 9169           10 new
11  existing members (2004)   381781620           3367154          7711.871                20200               11
