    rank        nation  gold  silver  bronze  total
0      1       vilnius     6       5       5     16
1      2        kaunas     2       4       5     11
2      3      šiauliai     2       2       2      6
3      4         mazyr     2       1       0      3
4      5        jonava     1       3       0      4
5      6          riga     1       1       2      4
6      7       molėtai     1       1       1      3
7      8       telšiai     1       1       0      2
8      8     raseiniai     1       1       0      2
9      8       nairobi     1       1       0      2
10     8         brest     1       1       0      2
11    12       mogilev     1       0       1      2
12    12         minsk     1       0       1      2
13    12     panevėžys     1       0       1      2
14    12     kėdainiai     1       0       1      2
15    16   vilkaviškis     1       0       0      1
16    16       prienai     1       0       0      1
17    16        london     1       0       0      1
18    19        plonsk     0       1       0      1
19    19       koblenz     0       1       0      1
20    19  druskininkai     0       1       0      1
21    19          šėta     0       1       0      1
22    19        moscow     0       1       0      1
23    24   šalčininkai     0       0       3      3
24    25     birštonas     0       0       1      1
25    25         talin     0       0       1      1
26    25       paberžė     0       0       1      1
27    25       glasgow     0       0       1      1
