  result            opponent                         method                             event  date
0   loss       gabriel vella                         points   adcc brasil trials (over 99 kg)  2011
1    win        armando sapo                     submission   adcc brasil trials (over 99 kg)  2011
2    win     salvador minnit                     submission   adcc brasil trials (over 99 kg)  2011
3    win       jorge bezerra                         points   adcc brasil trials (over 99 kg)  2011
4   loss     vinny magalhães            submission (armbar)      adcc barcelona (under 99 kg)  2009
5   loss     gerardi rinaldi                         points      adcc barcelona (under 99 kg)  2009
6    win         dean lister                         points      adcc barcelona (under 99 kg)  2009
7    win          vesa vuori                         points      adcc barcelona (under 99 kg)  2009
8    win  leonardo chocolate  submission (rear naked choke)  adcc brasil trails (under 99 kg)  2009
9    win     renato ferreira                         points  adcc brasil trails (under 99 kg)  2009
