    round              circuit          date        pole position          fastest lap       winning driver         winning team
0       1       donington park       6 april          jamie green   alan van der merwe          jamie green    carlin motorsport
1       2       donington park       6 april          jamie green          jamie green          jamie green    carlin motorsport
2       3           snetterton      20 april   alan van der merwe    richard antinucci   alan van der merwe    carlin motorsport
3       4           snetterton      20 april   alan van der merwe    richard antinucci   alan van der merwe    carlin motorsport
4       5                croft         4 may         will davison         will davison         will davison  alan docking racing
5       6                croft         4 may   alan van der merwe   alan van der merwe   alan van der merwe    carlin motorsport
6       7            knockhill        11 may      clivio piccione      clivio piccione      clivio piccione     manor motorsport
7       8            knockhill        11 may  nelson ngelo piquet  nelson ngelo piquet  nelson ngelo piquet        piquet sports
8       9          silverstone        25 may  nelson ngelo piquet  nelson ngelo piquet  nelson ngelo piquet        piquet sports
9      10          silverstone        26 may  nelson ngelo piquet   alan van der merwe   alan van der merwe    carlin motorsport
10     11         castle combe       22 june          danny watts         adam carroll   alan van der merwe    carlin motorsport
11     12         castle combe       22 june          danny watts          danny watts          danny watts        hitech racing
12     13          oulton park       13 july  nelson ngelo piquet          danny watts   alan van der merwe    carlin motorsport
13     14          oulton park       13 july  nelson ngelo piquet   alan van der merwe   alan van der merwe    carlin motorsport
14     15           rockingham      3 august  nelson ngelo piquet  nelson ngelo piquet  nelson ngelo piquet        piquet sports
15     16           rockingham      3 august          jamie green  nelson ngelo piquet          jamie green    carlin motorsport
16     17             thruxton     17 august          danny watts      robert dahlgren      robert dahlgren    fortec motorsport
17     18             thruxton     17 august        eric salignon        eric salignon          jamie green    carlin motorsport
18     19  spa - francorchamps     30 august   alan van der merwe          jamie green   alan van der merwe    carlin motorsport
19     20  spa - francorchamps     31 august      robert doornbos          jamie green   alan van der merwe    carlin motorsport
20     21       donington park   6 september   alan van der merwe  nelson ngelo piquet  nelson ngelo piquet        piquet sports
21     22       donington park   7 september           rob austin          jamie green           rob austin      menu motorsport
22     23         brands hatch  28 september  nelson ngelo piquet      robert doornbos  nelson ngelo piquet        piquet sports
