    aces             player            opponent                       event  sets
0    113         john isner       nicolas mahut              2010 wimbledon     5
1    103      nicolas mahut          john isner              2010 wimbledon     5
2     78       ivo karlović      radek štěpánek              2009 davis cup     5
3     55       ivo karlović      lleyton hewitt          2009 roland garros     5
4     54        gary muller      peter lundgren              1993 wimbledon     3
5     51       ivo karlović   daniele bracciali              2005 wimbledon     5
6     51  joachim johansson        andre agassi        2005 australian open     4
7     50      roger federer        andy roddick              2009 wimbledon     5
8     50     chris guccione    olivier patience              2005 wimbledon     3
9     50     grégory carraz           tomáš zíb  2004 andrézieux challenger     3
10    49   richard krajicek  yevgeny kafelnikov                1999 us open     5
11    48        marc rosset      arnaud clément              2001 davis cup     5
12    48       ivo karlović          ivan dodig        2011 australian open     5
13    48    nicolás almagro      olivier rochus              2012 wimbledon     5
