    year          mens singles      womens singles                          mens doubles                        womens doubles                      mixed doubles
0   1984          romain fritz      martine ludwig                        no competition                        no competition                     no competition
1   1985           willy groff      martine ludwig                        no competition                        no competition                     no competition
2   1986          romain fritz      martine ludwig                        no competition                        no competition                     no competition
3   1987           willy groff  colette christnach                       d croise r moes     colette christnach anne marie nau        romain fritz martine ludwig
4   1988           willy groff  colette christnach               d croise marc engelmann     colette christnach anne marie nau        romain fritz martine ludwig
5   1989           willy groff  colette christnach                    willy groff r moes     colette christnach anne marie nau  marc engelmann colette christnach
6   1990         pierre bollig  colette christnach             pierre bollig henry meyer       colette christnach i feiereisen  marc engelmann colette christnach
7   1991           henry meyer  colette christnach                    willy groff r moes       colette christnach i feiereisen  marc engelmann colette christnach
8   1992         pierre bollig    anne - marie nau             pierre bollig henry meyer                nancy mauer pia juchem  marc stolwijk isabelle feiereisen
9   1993       philippe aulner    anne - marie nau         daniel ruppert marc engelmann             martine ludwig pia juchem     marc stolwijk pascale stolwijk
10  1994         pierre bollig      martine ludwig            philippe aulner tom merker         martine ludwig angele da cruz     marc stolwijk pascale stolwijk
11  1995     christian wagener      martine ludwig      christian wagener christian esch         martine ludwig angele da cruz     christian esch monique mathiew
12  1996     christian wagener      martine ludwig          marc stolwijk marc engelmann         martine ludwig angele da cruz          tom merker angele da cruz
13  1997            tom merker    mireille kosmala         marc engelmann daniel ruppert        mireille kosmala mireille lang      yves olinger anne - marie nau
14  1998            tom merker       nicole wagner         yves olinger michael d'onghia  sonja deckenbrunnen monique ludovicy      yves olinger anne - marie nau
15  1999          yves olinger       nicole wagner         yves olinger michael d'onghia        nicole wagner mireille kosmala    marc stollwijk mireille kosmala
16  2000          yves olinger    mireille kosmala          tom merker christian wagener         gaby weissen mireille kosmala      yves olinger anne - marie nau
17  2001          yves olinger    anne - marie nau         yves olinger michael d'onghia            nicole wagner gaby weissen        marc schintgen gaby weissen
18  2002          yves olinger    mireille kosmala         yves olinger michael d'onghia        annemarie nau claudine parisot         yves olinger annemarie nau
19  2003          yves olinger        michèle bock            yves olinger marc stolwijk       mireille kosmala sandra schiltz         yves olinger annemarie nau
20  2004  mathieu serebriakoff     claudine barnig  mathieu serebriakoff philippe hengen          claudine barnig michèle bock       yves olinger claudine barnig
21  2005          yves olinger     claudine barnig           yves olinger andré frederes          claudine barnig michèle bock    philippe hengen claudine barnig
22  2006       philippe hengen     claudine barnig          yves olinger philippe hengen         claudine barnig zoé schroeder    philippe hengen claudine barnig
23  2007       philippe hengen     claudine barnig          yves olinger philippe hengen         claudine barnig zoé schroeder    philippe hengen claudine barnig
24  2008       philippe hengen        lisa hariati            ben speltz philippe hengen         claudine barnig zoé schroeder    philippe hengen claudine barnig
25  2009            ben speltz        lisa hariati            ben speltz philippe hengen         claudine barnig zoé schroeder    philippe hengen claudine barnig
