     res      record              opponent                           method                              event  round  time                                  location
0   loss  12 - 7 - 1    shamil abdurahimov             decision (unanimous)  tech - krep fc : southern front 2      3  5:00                        krasnodar , russia
1    win  12 - 6 - 1     tomasz czerwinski                     ko (punches)                           ucmma 31      1  2:59         london , england , united kingdom
2   loss  11 - 6 - 1           todd duffee                    tko (punches)                              sfl 2      1  0:34                        chandigarh , india
3   loss  11 - 5 - 1         thiago santos  submission (rear - naked choke)                        bellator 56      1  0:38      kansas city , kansas , united states
4   loss  11 - 4 - 1            mike hayes                 decision (split)                        bellator 52      3  5:00  lake charles , louisiana , united states
5    win  11 - 3 - 1            zak jensen                    tko (punches)                        bellator 47      1  2:00                   rama , ontario , canada
6   loss  10 - 3 - 1           cole konrad             submission (keylock)                        bellator 32      1  4:45    kansas city , missouri , united states
7    win  10 - 2 - 1        alexey oleinik                    tko (punches)                        bellator 29      1  0:45     milwaukee , wisconsin , united states
8    win   9 - 2 - 1         eddie sanchez           tko (referee stoppage)                        bellator 24      1  1:32       hollywood , florida , united states
9   draw   8 - 2 - 1         stav economou                             draw          ucmma 12: never back down      3  5:00                          london , england
10   win       8 - 2       martin thompson                    tko (punches)                  ucmma 8: dynamite      1  0:53                          london , england
11  loss       7 - 2     mike ciesnolevicz  submission (inverted heel hook)                             ufc 95      1  1:03                          london , england
12   win       7 - 1       james mcsweeney                     ko (punches)                 ucmma 1: bad breed      2  1:38                          london , england
13   win       6 - 1          robert berry                    tko (punches)                       cage rage 27      2  1:29                          london , england
14  loss       5 - 1         rob broughton              decision (majority)                       cage rage 25      3  5:00                          london , england
15   win       5 - 0          robert berry            tko (corner stoppage)                       cage rage 24      1  5:00                          london , england
16   win       4 - 0       domagoj ostojić                    tko (punches)                       cage rage 23      1  0:34                          london , england
17   win       3 - 0        james thompson                       ko (punch)                       cage rage 22      1  0:10                          london , england
18   win       2 - 0  denniston sutherland                    tko (punches)           ukmmac 18: fists of fury      1  3:05                        purfleet , england
19   win       1 - 0        anthony okorie                    tko (punches)             ukmmac 17: iron circle      1  0:54                                   england
