                            conference                              regular season winner          conference player of the year                             conference tournament                              tournament venue (city)      tournament winner
0               atlantic 10 conference                                    temple & xavier              kevin anderson , richmond     2010 atlantic 10 men 's basketball tournament        boardwalk hall ( atlantic city , new jersey )                 temple
1            atlantic coast conference                                    duke & maryland             greivis vasquez , maryland             2010 acc men 's basketball tournament  greensboro coliseum ( greensboro , north carolina )                   duke
2              atlantic sun conference       lipscomb , belmont , jacksonville & campbell                adnan hodžić , lipscomb    2010 atlantic sun men 's basketball tournament                university center ( macon , georgia )   east tennessee state
3                    big 12 conference                                             kansas        james anderson , oklahoma state          2010 big 12 men 's basketball tournament             sprint center ( kansas city , missouri )                 kansas
4                  big east conference                                           syracuse                 wes johnson , syracuse        2010 big east men 's basketball tournament   madison square garden ( new york city , new york )          west virginia
5        colonial athletic association                                       old dominion              charles jenkins , hofstra             2010 caa men 's basketball tournament            richmond coliseum ( richmond , virginia )           old dominion
6                       conference usa                                               utep                 randy culpepper , utep  2010 conference usa men 's basketball tournament                      bok center ( tulsa , oklahoma )                houston
7                          independent                                            seattle               charles garcia , seattle                                     no tournament                                        no tournament          no tournament
8                           ivy league                                            cornell                 ryan wittman , cornell                                     no tournament                                        no tournament          no tournament
9   metro atlantic athletic conference                                              siena                  alex franklin , siena            2010 maac men 's basketball tournament             times union center ( albany , new york )                  siena
10           mid - american conference          kent state (east) central michigan (west)          david kool , western michigan             2010 mac men 's basketball tournament             quicken loans arena ( cleveland , ohio )                   ohio
11            mountain west conference                                         new mexico          darington hobson , new mexico             2010 mwc men 's basketball tournament           thomas & mack center ( paradise , nevada )        san diego state
12                      patriot league                                             lehigh                  c j mccollum , lehigh  2010 patriot league men 's basketball tournament                                         campus sites                 lehigh
13    southwestern athletic conference                                      jackson state       garrison johnson , jackson state            2010 swac men 's basketball tournament       centurytel center ( bossier city , louisiana )  arkansas - pine bluff
14                   the summit league                                            oakland                 keith benson , oakland   2010 summit league men 's basketball tournament     sioux falls arena ( sioux falls , south dakota )                oakland
15                 sun belt conference  middle tennessee & troy (east) north texas (west)  tyren johnson , louisiana - lafayette        2010 sun belt men 's basketball tournament              summit arena ( hot springs , arkansas )            north texas
