    track number                  song title                                        songwriter (s)       orchestra  time
0              1           let there be love                               lionel rand / ian grant  ralph marterie  1:57
1              2       you 're my everything                 harry warren / joe young / mort dixon  ralph marterie  2:22
2              3     you 're fooling someone  leo fox / wayne muir / frank lavere / wally griffith  ralph marterie  1:52
3              4                am i in love                                           ted varnick  ralph marterie  2:34
4              5           my love , my love                       nicholas acquaviva / bob haymes  ralph marterie  2:29
5              6               purple shades                            lew douglas / frank lavere  ralph marterie  3:01
6              7               almost always                                           lew douglas  ralph marterie  1:54
7              8          i'll be seeing you                             sammy fain / irving kahal  ralph marterie  2:10
8              9         when we come of age                                         norman gimbel     tony pastor  1:50
9             10        these foolish things             harry link / holt marvell / jack strachey     tony pastor  3:13
10            11  it 's the talk of the town         jerry livingston / al j neiburg / marty symes     tony pastor  2:44
11            12                too late now                         alan jay lerner / burton lane     tony pastor  2:26
12            13             in love in vain                               leo robin / jerome kern     tony pastor  2:45
13            14            that old feeling                                sammy fain / lew brown     tony pastor  2:22
14            15       i'm through with love             gus kahn / fud livingston / matty malneck     tony pastor  2:11
15            16            little girl blue                         richard rodgers / lorenz hart     tony pastor  2:40
