      date                                           course  distance                     type                      winner
0   13 may                                 perugia to terni         -              hilly stage     mario cipollini ( ita )
1   14 may                                foligno to assisi         -    individual time trial       tony rominger ( sui )
2   15 may                               spoleto to marotta         -              plain stage     mario cipollini ( ita )
3   16 may                               mondolfo to loreto         -              hilly stage       tony rominger ( sui )
4   17 may                      porto recanati to tortoreto         -              hilly stage  filippo casagrande ( ita )
5   18 may                                 trani to taranto         -              plain stage       nicola minali ( ita )
6   19 may                        taranto to terme luigiane         -              hilly stage  maurizio fondriest ( ita )
7   20 may                       acquappesa to monte sirino         -  stage with mountain (s)    laudelino cubino ( esp )
8   21 may                        terme la calda to salerno         -              plain stage       rolf sørensen ( den )
9   22 may                        telese terme to maddaloni         -    individual time trial       tony rominger ( sui )
10  23 may                                         rest day  rest day                 rest day                    rest day
11  24 may                         pietrasanta to il ciocco         -  stage with mountain (s)        enrico zaina ( ita )
12  25 may                         borgo a mozzano to cento         -              plain stage         ján svorada ( cze )
13  26 may                       pieve di cento to rovereto         -              hilly stage      pascal richard ( sui )
14  27 may                                trento to schnals         -  stage with mountain (s)     oliverio rincón ( col )
15  28 may           schnals to lenzerheide ( switzerland )         -  stage with mountain (s)     mariano piccoli ( ita )
16  29 may         lenzerheide ( switzerland ) to treviglio         -              hilly stage   giuseppe citterio ( ita )
17  30 may                          cenate sotto to selvino         -    individual time trial       tony rominger ( sui )
18  31 may              stradella to sanctuary of vicoforte         -              plain stage       denis zanette ( ita )
19  1 june                         mondovì to pontechianale         -  stage with mountain (s)      pascal richard ( sui )
20  2 june  briançon ( france ) to gressoney - saint - jean         -  stage with mountain (s)  serguei outschakov ( ukr )
21  3 june                   pont - saint - martin to luino         -  stage with mountain (s)       evgeni berzin ( rus )
22  4 june                                   luino to milan         -              plain stage   giovanni lombardi ( ita )
23   total                                            total         -                  km (mi)                     km (mi)
