                name  tests                                             club  career caps  tour apps         position
0            aw ross      5                                sydney university           20         29        full back
1         aja bowers      1                       eastern suburbs , randwick            7          9  three - quarter
2            jb egan      0                                  eastern suburbs            0          7  three - quarter
3            ee ford      5                                  glebe - balmain            7         21  three - quarter
4           gcgordon      0                 western suburbs , newcastle ymca            1          8  three - quarter
5            sc king      4                                  western suburbs           14         19  three - quarter
6            wh mann      0                                sydney university            0          7  three - quarter
7         wbjsheehan      2                                sydney university           18         12  three - quarter
8         cht towers      3                                         randwick           19         29  three - quarter
9     ac wallace (c)      5                                sydney university            8         22  three - quarter
10         jl duncan      0                                         randwick            1          8      half - back
11        sj malcolm      3  cook 's hill surf club , newcastle ymca , manly           18         11      half - back
12        fw meagher      2                                         randwick            8         12      half - back
13          t lawton      5              sydney university , western suburbs           14         27      half - back
14      jg blackwood      5                                  eastern suburbs           21         23          forward
15          gv bland      0                                            manly            9          4          forward
16          mr blair      1                                  western suburbs            3          7          forward
17  jwp breckenridge      5                                  glebe - balmain           11         26          forward
18         an finlay      5                                sydney university           12         24          forward
19           ja ford      4                                  glebe - balmain           11         25          forward
20       cl fox (vc)      1                                 northern suburbs           17         12          forward
21      en greatorex      2                                   newcastle ymca            8         14          forward
22           pb judd      4                                  western suburbs           11         24          forward
23         gp storey      5                                  western suburbs            8         20          forward
24        an tancred      3                                  glebe - balmain            3         16          forward
25        jl tancred      2                                  glebe - balmain            2         16          forward
26        k tarleton      0                                   newcastle ymca            2          9          forward
27          ej thorn      0                                            manly           15         13          forward
28          hf woods      4                                   newcastle ymca            8         19          forward
