     res       record           opponent                                   method                                    event  round                                  location
0    win  20 - 13 - 1        marvin babe                      submission (armbar)                  kotc - bad intentions 2      1                  oklahoma , united states
1   loss  19 - 13 - 1      quinn mulhern                    submission (omoplata)                           kotc - militia      1                california , united states
2   loss  19 - 12 - 1         jean silva                             ko (punches)                             cage rage 23      2                          london , england
3    win  19 - 11 - 1      adam disabato                    submission (toe hold)                          gfc : evolution      1                      ohio , united states
4   loss  18 - 11 - 1   tatsuya kawajiri                            tko (strikes)                         pride bushido 12      1                            nagoya , japan
5   loss  18 - 10 - 1      vitor ribeiro          verbal submission (swollen eye)   gfc : team gracie vs team hammer house      2                      ohio , united states
6    win   18 - 9 - 1      shannon ritch  technical submission (guillotine choke)                 rm 7: championship night      1                                    mexico
7    win   17 - 9 - 1        mark moreno                      submission (armbar)                        x - 1 challengers      1                    hawaii , united states
8   loss   16 - 9 - 1       daiju takase                     decision (unanimous)                          pride bushido 2      2                          yokohama , japan
9    win   16 - 8 - 1      eiji mitsuoka                      submission (kimura)                          pride bushido 1      1                           saitama , japan
10   win   15 - 8 - 1     jason st louis                      submission (armbar)      adrenaline fighting championships 1      1                                    canada
11  loss   14 - 8 - 1  takaharu murahama               submission (achilles lock)    shooto 2003 - 1 / 24 in korakuen hall      1                             tokyo , japan
12  loss   14 - 7 - 1      takanori gomi                     decision (unanimous)                shooto - treasure hunt 10      3                          yokohama , japan
13   win   14 - 6 - 1      shannon ritch                      submission (armbar)                        aztec challenge 1      1                                    mexico
14  loss   13 - 6 - 1       john alessio                            tko (punches)                 kotc 15 - bad intentions      1                california , united states
15   win   13 - 5 - 1       thomas denny                      submission (armbar)                   gladiator challenge 11      1                california , united states
16   win   12 - 5 - 1   john chrisostomo                     submission (keylock)                warriors quest 4: genesis      1                    hawaii , united states
17  loss   11 - 5 - 1       gil castillo                     decision (unanimous)                                   ufc 35      3  uncasville , connecticut , united states
18   win   11 - 4 - 1       steve berger                     decision (unanimous)                     kotc 11 - domination      3                california , united states
19   win   10 - 4 - 1        kevin hogan                      submission (armbar)                  kotc 10 - critical mass      2                california , united states
20   win    9 - 4 - 1       robert wynne                      submission (armbar)            reality submission fighting 1      1                  illinois , united states
21  loss    8 - 4 - 1         joe hurley                              ko (elbows)                       kotc 5 - cage wars      1                california , united states
22   win    8 - 3 - 1      antonio mckee                           ko (head kick)              kotc 3 - knockout nightmare      2                california , united states
23   win    7 - 3 - 1      joe stevenson              submission (triangle choke)  kotc 1 - bas rutten 's king of the cage      1                california , united states
24  loss    6 - 3 - 1         steve gomm                       submission (knees)                bas rutten invitational 3      1                  colorado , united states
25   win    6 - 2 - 1       steve horton            submission (guillotine choke)                     extreme challenge 22      1                      utah , united states
26  loss    5 - 2 - 1       pat miletich                       submission (choke)                                   ufc 16      1                 louisiana , united states
27   win    5 - 1 - 1    courtney turner                      submission (armbar)                                   ufc 16      1                 louisiana , united states
28  loss    4 - 1 - 1       pat miletich                     decision (unanimous)                 extreme challenge trials      1                      iowa , united states
29  draw    4 - 0 - 1       pat miletich                                     draw                      extreme challenge 9      1                      iowa , united states
30   win        4 - 0      delcio delcio            submission (guillotine choke)                     carioca de freestyle      1                                    brazil
31   win        3 - 0       steve oliver            submission (rear naked choke)                        independent event      1               mississippi , united states
32   win        2 - 0        randal kemp                      submission (armbar)                        independent event      1               mississippi , united states
33   win        1 - 0       scott carter            submission (peruvian necktie)                        independent event      1                california , united states
