     res       record             opponent                           method                                event  round   time                                   location
0    win  25 - 10 (1)        amir sadollah             decision (unanimous)    ufc on fuel tv : struve vs miocic      3   5:00                       nottingham , england
1    win  24 - 10 (1)         duane ludwig            ko (punch and elbows)                              ufc 146      1   3:51         las vegas , nevada , united states
2   loss  23 - 10 (1)          chris lytle    submission (guillotine choke)            ufc live : hardy vs lytle      3   4:16      milwaukee , wisconsin , united states
3   loss   23 - 9 (1)      anthony johnson             decision (unanimous)  ufc fight night : nogueira vs davis      3   5:00       seattle , washington , united states
4   loss   23 - 8 (1)        carlos condit                       ko (punch)                              ufc 120      1   4:27                           london , england
5   loss   23 - 7 (1)  georges st - pierre             decision (unanimous)                              ufc 111      5   5:00        newark , new jersey , united states
6    win   23 - 6 (1)           mike swick             decision (unanimous)                              ufc 105      3   5:00                       manchester , england
7    win   22 - 6 (1)         marcus davis                 decision (split)                               ufc 99      3   5:00                          cologne , germany
8    win   21 - 6 (1)         rory markham                       ko (punch)                               ufc 95      1   1:09                           london , england
9    win   20 - 6 (1)         akihiro gono                 decision (split)                               ufc 89      3   5:00                       birmingham , england
10   win   19 - 6 (1)       daniel weichel                     tko (elbows)                      uf : punishment      2   1:49                        doncaster , england
11   win   18 - 6 (1)          chad reiner                    tko (punches)       cwfc : enter the rough house 6      3   2:10                       nottingham , england
12   win   17 - 6 (1)        manuel garcia             submission (punches)       cwfc : enter the rough house 5      1   2:21                       nottingham , england
13  loss   16 - 6 (1)    yoshiyuki yoshida       dq (accidental groin kick)                   gcm : cage force 5      2   0:04                              tokyo , japan
14   win   16 - 5 (1)       hidetaka monma            tko (corner stoppage)                   gcm : cage force 4      3   0:29                              tokyo , japan
15   win   15 - 5 (1)         daizo ishige             decision (unanimous)    gcm : cage force ex eastern bound      3   5:00                              tokyo , japan
16   win   14 - 5 (1)             willy ni    submission (guillotine choke)       cwfc : enter the rough house 2      2   0:39                       nottingham , england
17   win   13 - 5 (1)     alexandre izidro                    tko (punches)         cwfc : enter the rough house      3   4:56                       nottingham , england
18   win   12 - 5 (1)        danny rushton                 tko (retirement)                      cwfc : showdown      1   5:00                        sheffield , england
19  loss   11 - 5 (1)          david baron                         decision                 2h2h : road to japan      2   3:00                                netherlands
20  loss   11 - 4 (1)         forrest petz             decision (unanimous)                          fightfest 2      3   5:00              canton , ohio , united states
21   win   11 - 3 (1)       diego gonzalez            tko (doctor stoppage)                cwfc : strike force 5      3   0:19                         coventry , england
22   win   10 - 3 (1)          matt thorpe                 decision (split)                cwfc : strike force 4      5   5:00                         coventry , england
23    nc    9 - 3 (1)       diego gonzalez                       no contest                cwfc : strike force 3      2   1:19                         coventry , england
24   win        9 - 3           sami berik             decision (unanimous)                       cwfc : quest 3      3   5:00                        sheffield , england
25   win        8 - 3     lautaro arborelo                    tko (punches)                cwfc : strike force 2      3   3:52                         coventry , england
26   win        7 - 3     alexandre izidro             decision (unanimous)                       kotc : warzone      2   5:00                        sheffield , england
27   win        6 - 3         stuart barrs                    tko (punches)                           uk : storm      2   2:44                       birmingham , england
28  loss        5 - 3          david baron      submission (triangle choke)                  cwfc : strike force      2   3:10                         coventry , england
29   win        5 - 2          andy walker                    tko (punches)                       cwfc : quest 1      1   3:26                        yorkshire , england
30   win        4 - 2            lee doski              submission (injury)                      fight club uk 1      2  n / a                        sheffield , england
31   win        3 - 2         aaron barrow       ko (head kick and punches)                  cwfc 9: xtreme xmas      1   0:13                        sheffield , england
32  loss        2 - 2            pat healy    submission (guillotine choke)   absolute fighting championships 10      1   3:50  fort lauderdale , florida , united states
33   win        2 - 1           andy melia             submission (punches)                 cwfc 8: brutal force      2   3:55                        sheffield , england
34   win        1 - 1         paul jenkins              decision (majority)           full contact fight night 2      3   5:00                       portsmouth , england
35  loss        0 - 1            lee doski  submission (rear - naked choke)                      extreme brawl 7      2   4:59                        bracknell , england
