     res     record          opponent                               method                                             event  round  time                                  location
0   loss  7 - 8 - 1     lauren taylor                 decision (unanimous)                   invicta fc 5: penne vs waterson      3  5:00    kansas city , missouri , united states
1   loss  7 - 7 - 1      leslie smith                        tko (punches)                   invicta fc 3: penne vs sugiyama      2  2:19      kansas city , kansas , united states
2   loss  7 - 6 - 1     liz carmouche      submission (rear - naked choke)                   invicta fc 2: baszler vs mcmann      2  3:34      kansas city , kansas , united states
3   draw  7 - 5 - 1      leslie smith                         draw (split)                   invicta fc 1: coenen vs ruyssen      3  5:00      kansas city , kansas , united states
4    win      7 - 5       anna barone                tko (doctor stoppage)    driller promotions / seg - downtown showdown 2      2  5:00   minneapolis , minnesota , united states
5    win      6 - 5      liz carreiro                        tko (punches)                 fcf 49: fight strong for the cure      1  4:47        shawnee , oklahoma , united states
6   loss      5 - 5      julie kedzie                 decision (unanimous)                           jackson 's mma series 4      5  5:00  albuquerque , new mexico , united states
7    win      5 - 4      julie kedzie                     decision (split)                          ultimate women challenge      3  3:00          st george , utah , united states
8   loss      4 - 4     jennifer tate                  submission (armbar)                        freestyle cage fighting 39      2  2:35        shawnee , oklahoma , united states
9   loss      4 - 3       shana olsen             tko (punches and elbows)                                       ironman mma      2  1:52         welch , minnesota , united states
10  loss      4 - 2       gina carano                tko (doctor stoppage)                               elitexc : primetime      2  3:00       newark , new jersey , united states
11  loss      4 - 1   sarah schneider                  submission (armbar)               tuff - n - uff : thompson vs troyer      2  0:35        las vegas , nevada , united states
12   win      4 - 0         patti lee                ko (knee to the body)  hooknshoot - bodogfight 2007 women 's grand prix      1  0:53      evansville , indiana , united states
13   win      3 - 0       miesha tate                       ko (head kick)  hooknshoot - bodogfight 2007 women 's grand prix      1  0:30      evansville , indiana , united states
14   win      2 - 0        suzy smith                           ko (knees)  hooknshoot - bodogfight 2007 women 's grand prix      1  0:22      evansville , indiana , united states
15   win      1 - 0  lindsey frandrop  tko (kicks to the body and punches)                             brutaal - fight night      2  0:26     maplewood , minnesota , united states
