   year                       entrant        chassis                engine  points
0  1972         team williams - motul      march 711           cosworth v8       3
1  1973  brooke bond oxo team surtees  surtees ts14a           cosworth v8       7
2  1974                  team surtees   surtees ts16           cosworth v8      11
3  1974   bang & olufsen team surtees   surtees ts16           cosworth v8      11
4  1974         goldie hexagon racing   brabham bt42           cosworth v8      11
5  1974     motor racing developments   brabham bt44           cosworth v8      11
6  1975                martini racing  brabham bt44b           cosworth v8      24
7  1976                martini racing   brabham bt45  alfa romeo flat - 12       7
8  1977                martini racing   brabham bt45  alfa romeo flat - 12       6
9  1977                martini racing  brabham bt45b  alfa romeo flat - 12       6
