    heat  lane                        name                       country     mark
0      1     4                 kim gevaert                       belgium     7.31
1      1     6                laura turner                united kingdom     7.34
2      1     2           svetlana nabokina                        russia     7.38
3      1     5               inna eftimova                      bulgaria     7.50
4      1     7           ruddy zang milama                         gabon     7.66
5      1     3          fabienne weyermann                   switzerland     7.67
6      1     8    maki samantha lockington                  cook islands  8.69 pb
7      2     4            ene franca idoko                       nigeria     7.19
8      2     5    laverne jones - ferrette  united states virgin islands  7.23 sb
9      2     2            virgen benavides                          cuba     7.29
10     2     3             ailis mcsweeney                       ireland     7.43
11     2     6            lina grincikaité                     lithuania     7.45
12     2     7       affoué amandine allou                   ivory coast  7.57 sb
13     2     8            martina pretelli                    san marino     8.54
14     3     7             guzel khubbieva                    uzbekistan  7.24 sb
15     3     6         yevgeniya polyakova                        russia     7.25
16     3     4               verena sailer                       germany     7.37
17     3     5   bettina müller - weissina                       austria     7.37
18     3     8                alexis joyce                 united states     7.50
19     3     3                nina kovacic                      slovenia     7.57
20     3     2          valentina nazarova                  turkmenistan  7.72 nr
21     4     2            tahesia harrigan        british virgin islands     7.21
22     4     5             jeanette kwakye                united kingdom     7.33
23     4     7                 ivet lalova                      bulgaria     7.36
24     4     8              lena berntsson                        sweden     7.45
25     4     6                feta ahamada                       comoros     7.71
26     4     1          rosa mystique jone                         nauru  8.09 pb
27     4     4               hawwa haneefa                      maldives  8.42 pb
28     4     3             nongnuch sanrat                      thailand      dns
29     5     3             angela williams                 united states     7.29
30     5     4           oludamola osayomi                       nigeria     7.35
31     5     5           delphine atangana                      cameroon     7.37
32     5     7                   vida anim                         ghana     7.37
33     5     8            ezinne okparaebo                        norway     7.42
34     5     2  lucimar aparecida de moura                        brazil     7.64
35     5     6                 amando choo                     singapore  7.74 nr
