    year country / territory                   miss world                  national title                     location
0   2013         philippines                  megan young          miss world philippines             bali , indonesia
1   2012            china pr                    yu wenxia                miss china world           ordos city , china
2   2011           venezuela                 ivian sarcos            miss venezuela world      london , united kingdom
3   2010       united states             alexandria mills        miss world united states                sanya , china
4   2009           gibraltar              kaiane aldorino                  miss gibraltar  johannesburg , south africa
5   2008              russia             ksenia sukhinova                     miss russia  johannesburg , south africa
6   2007            china pr                  zhang zilin                miss china world                sanya , china
7   2006      czech republic             taťána kuchařová             miss czech republic              warsaw , poland
8   2005             iceland  unnur birna vilhjálmsdóttir                   ungfrú ísland                sanya , china
9   2004                peru         maría julia mantilla                 miss world perú                sanya , china
10  2003             ireland              rosanna davison                    miss ireland                sanya , china
11  2002              turkey                    azra akın                     miss turkey      london , united kingdom
12  2001             nigeria                agbani darego  most beautiful girl in nigeria      sun city , south africa
13  2000               india              priyanka chopra               femina miss india      london , united kingdom
