                    club  wins  byes  losses  against
0      carngham - linton    17     1       0     1297
1                navarre    13     2       3      728
2                 lexton    13     1       4     1120
3                  avoca    12     2       4     1281
4                skipton    10     1       7     1780
5   rokewood - corindhap     7     2       9     1679
6             illabarook     6     2      10     1652
7                 marnoo     4     2      12     1816
8        natte - bealiba     4     1      13     1585
9                dunolly     3     2      13     2249
10          landsborough     1     2      15     2009
