    males rank  females rank              state  hiv awareness (males%)  females (%)
0            1             2             kerala                      99           95
1            2             1            manipur                      99           99
2            3             3         tamil nadu                      98           94
3            4             3            mizoram                      96           94
4            5            10     andhra pradesh                      93           74
5            6             5                goa                      92           83
6            6             7   himachal pradesh                      92           79
7            6            12             punjab                      92           70
8            9            15           nagaland                      91           81
9           10             8        uttarakhand                      90           79
10          11             7        maharashtra                      87           82
11          12             9             sikkim                      89           75
12          12            11            tripura                      89           73
13          14            17  jammu and kashmir                      88           61
14          15            18            haryana                      87           60
15          16            13          karnataka                      85           66
16          17            23            gujarat                      80           49
17          17            19        whole india                      80           57
18          19            13  arunachal pradesh                      75           66
19          19            21              assam                      75           53
20          21            28        west bengal                      74           50
21          21            26      uttar pradesh                      74           40
22          21            22          rajasthan                      74           34
23          24            16             odisha                      73           62
24          25            27              bihar                      70           35
25          26            24     madhya pradesh                      68           45
26          27            25        chattisgarh                      67           41
27          28            19          meghalaya                      63           57
28          29            29          jharkhand                      53           29
