                           2004 / 05                         2005 / 06                         2007 / 08                         2008 / 09                         2009 / 10                         2010 / 11                         2011 / 12
0                                 90                                88                                72                                53                                59                                62                                65
1                ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments
2                           not held                          not held                          not held                          not held                          not held                          not held                                lq
3                           not held                          not held                                lq                                lq                                lq                                lq                                lq
4                                  a                                 a                                lq                                lq                                lq                                 a                                lq
5                           not held                          not held                          not held                          not held                          not held                                wr                                1r
6                                 lq                                 a                                lq                                lq                                1r                                lq                                lq
7                                  a                                 a                                qf                                lq                                lq                                2r                                lq
8                           not held                          not held                          not held                          not held                          not held                               dnq                               dnq
9                                 wr                                 a                                lq                                lq                                lq                                lq                                lq
10                                lq                                 a                                lq                                lq                                lq                                lq                                lq
11         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments
12                                 a                                 a                                 a                                 a                                lq                                 a                                 a
13        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments
14                          not held                          not held                          not held                          not held                          not held                                 a                                1r
15        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments
16                                lq                          not held                          not held                          not held                          not held                          not held                          not held
17                                lq                                nh                          not held                          not held                          not held                          not held                          not held
18                                lq                                 a                                nr                          not held                          not held                          not held                          not held
19                          not held                                nr                                1r                                lq                          not held                          not held                          not held
20                          not held                          not held                          not held                                lq                          not held                          not held                          not held
21  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments
22                                nh                                 a                                 a                                 a                                3r                          not held                          not held
