    rnd                           race          date           location   pole position      fastest lap       race winner     constructor  report
0     1           argentine grand prix     9 january       buenos aires      james hunt       james hunt    jody scheckter     wolf - ford  report
1     2           brazilian grand prix    23 january         interlagos      james hunt       james hunt  carlos reutemann         ferrari  report
2     3       south african grand prix       5 march            kyalami      james hunt      john watson        niki lauda         ferrari  report
3     4  united states grand prix west       3 april         long beach      niki lauda       niki lauda    mario andretti    lotus - ford  report
4     5             spanish grand prix         8 may             jarama  mario andretti  jacques laffite    mario andretti    lotus - ford  report
5     6              monaco grand prix        22 may             monaco     john watson   jody scheckter    jody scheckter     wolf - ford  report
6     7             belgian grand prix        5 june             zolder  mario andretti   gunnar nilsson    gunnar nilsson    lotus - ford  report
7     8             swedish grand prix       19 june         anderstorp  mario andretti   mario andretti   jacques laffite  ligier - matra  report
8     9              french grand prix        3 july    dijon - prenois  mario andretti   mario andretti    mario andretti    lotus - ford  report
9    10             british grand prix       16 july        silverstone      james hunt       james hunt        james hunt  mclaren - ford  report
10   11              german grand prix       31 july     hockenheimring  jody scheckter       niki lauda        niki lauda         ferrari  report
11   12            austrian grand prix     14 august  ã - sterreichring      niki lauda      john watson        alan jones   shadow - ford  report
12   13               dutch grand prix     28 august          zandvoort  mario andretti       niki lauda        niki lauda         ferrari  report
13   14             italian grand prix  11 september              monza      james hunt   mario andretti    mario andretti    lotus - ford  report
14   15       united states grand prix     2 october       watkins glen      james hunt  ronnie peterson        james hunt  mclaren - ford  report
15   16            canadian grand prix     9 october            mosport  mario andretti   mario andretti    jody scheckter     wolf - ford  report
