                tournament                    2008                    2009                    2010                    2011                    2012
0   grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments
1          australian open                      2r                      2r                      3r                      1r                      1r
2              french open                       a                      2r                      2r                      1r                      2r
3                wimbledon                       a                      1r                      3r                      2r                      4r
4                  us open                       a                      3r                      2r                      2r                      1r
5               win - loss                   1 - 1                   4 - 4                   6 - 4                   2 - 4                   4 - 4
6            olympic games           olympic games           olympic games           olympic games           olympic games           olympic games
7          summer olympics                       a                not held                not held                not held                      3r
8       atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series
9     indian wells masters                       a                       a                       a                      1r                      4r
10           miami masters                       a                       a                      1r                      2r                      1r
11     monte carlo masters                       a                       a                       a                      1r                      1r
12            rome masters                       a                       a                       a                       a                      1r
13          madrid masters                       a                       a                       a                       a                      1r
14          canada masters                       a                       a                      1r                       a                       a
15      cincinnati masters                       a                       a                      2r                       a                      2r
16        shanghai masters                     nms                       a                      1r                       a                      2r
17           paris masters                       a                       a                      1r                      q1                      1r
18              win - loss                   0 - 0                   0 - 0                   1 - 5                   1 - 3                   5 - 8
19       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics
20         titles - finals                   0 - 0                   0 - 0                   0 - 1                   0 - 0                   0 - 1
21        year end ranking                     105                     102                      40                      72                      43
