    round  pick             player        position                  school
0       1     5          tom moore    running back              vanderbilt
1       2    17          bob jeter      cornerback                    iowa
2       5    51      dale hackbart  defensive back               wisconsin
3       6    65        mike wright          tackle               minnesota
4       7    77        kirk phares           guard          south carolina
5       8    89           don hitt          center          oklahoma state
6       9   101      frank brixius          tackle               minnesota
7      11   125            ron ray          tackle            howard payne
8      12   137         harry ball          tackle          boston college
9      13   149       paul winslow  defensive back  north carolina central
10     14   161        jon gilliam          center        east texas state
11     15   173      garney henley            back                   huron
12     16   185    john littlejohn            back            kansas state
13     17   197          joe gomes            back          south carolina
14     18   209  royce whittington          tackle  southwestern louisiana
15     19   221        rich brooks             end                  purdue
16     20   233       gilmer lewis          tackle                oklahoma
