    1950  1960  1970  1980  1990  1996
0    497  1495  1907  1901  2611  1821
1     66   687  1267  1350  1515  1620
2    643   589   723   719   796  1036
3    533  1015  1908  2094  1876   726
4      0   315   779   804   848   655
5      0   301   540   546   605   604
6     12    24   155   175   400   575
7    116   157   271   389   456   500
8      0   203   259   259   343   468
9    198   326   200   125   379   459
10   127   178   335   289   323   392
11     0    91   158   210   253   365
12    40    77    88   199   322   364
13     0   159   330   597   534   364
14    30   117   164   236   320   338
15   181   257   350   333   330   307
16    26    63   487   560   451   303
17    30   159   185   198   199   298
18    68   202   251   239   403   270
19    46   133   295   214   203   226
20     0     0   320   424   352   203
21   170   205   165   169   181   203
22    85    80    98   134   195   175
23   131   232   334   337   292   171
24     0    63   150   183   156   159
25    28   114   140   155   167   149
26    76   120   105   127   102   144
27   119   196   202   255   131   131
28     0     0    62   170   120   127
29    80    70    76    72    96    68
