                   title                                     author              doctor                   companion (s)      published
0      time and relative                                 kim newman                 1st                   susan foreman  november 2001
1      citadel of dreams                                 dave stone                 7th                             ace     march 2002
2          nightdreamers                                  tom arden                 3rd                        jo grant       may 2002
3             ghost ship                              keith topping                 4th                            none    august 2002
4         foreign devils                             andrew cartmel                 2nd  jamie mccrimmon and zoe heriot  november 2002
5               rip tide                              louise cooper                 8th                            none   january 2003
6             wonderland                             mark chadbourn                 2nd           ben jackson and polly     april 2003
7            shell shock                            simon a forward                 6th                      peri brown      june 2003
8   the cabinet of light                            daniel o'mahony  unspecified doctor                            none      july 2003
9            fallen gods                    jon blum and kate orman                 8th                            none    august 2003
10                frayed  tara samms ( pseudonym for stephen cole )                 1st                           susan   october 2003
11  the eye of the tyger                             paul j mcauley                 8th                            none  november 2003
12       companion piece               robert perry and mike tucker                 7th                catherine broome  december 2003
13        blood and hope                            iain mclaughlin                 5th                 peri and erimem   january 2004
14      the dalek factor                                simon clark  unspecified doctor                            none  february 2004
