    pick            player    position    nationality                 nhl team           college / junior / club team
0     43  hartland monahan  right wing         canada  california golden seals        montreal junior canadiens (oha)
1     44      george hulme  goaltender         canada        detroit red wings        st catharines black hawks (oha)
2     45     ed sidebottom     defence         canada       montreal canadiens                  estevan bruins (wchl)
3     46       gerry methe   left wing         canada      pittsburgh penguins                  oshawa generals (oha)
4     47        bob richer      centre         canada           buffalo sabres     trois - riviã¨res draveurs (qmjhl)
5     48    neil komadoski     defence         canada        los angeles kings                   winnipeg jets (wchl)
6     49        mike legge   left wing         canada    minnesota north stars                    winipeg jets (wchl)
7     50        ted scharf     defence         canada      philadelphia flyers                kitchener rangers (oha)
8     51   rick cunningham     defence         canada      toronto maple leafs               peterborough petes (oha)
9     52      derek harker     defence         canada           st louis blues              edmonton oil kings (wchl)
10    53       greg hubick     defence         canada       montreal canadiens  university of minnesota duluth (wcha)
11    54       clyde simon  right wing         canada      chicago black hawks        st catharines black hawks (oha)
12    55      jerry butler  right wing         canada         new york rangers               hamilton red wings (oha)
13    56        dave hynes   left wing  united states            boston bruins              harvard university (ecac)
