     rank          nation  gold  silver  bronze  total
0       1           japan     7       1       5     13
1       2           china     3       2       1      6
2       3     south korea     3       1       9     13
3       4            iran     1       2       1      4
4       5      uzbekistan     1       1       3      5
5       6     north korea     1       1       2      4
6       7        mongolia     0       4       2      6
7       8      tajikistan     0       3       0      3
8       9      kazakhstan     0       1       5      6
9      10  chinese taipei     0       0       1      1
10     10           india     0       0       1      1
11     10      kyrgyzstan     0       0       1      1
12     10           syria     0       0       1      1
13  total           total    16      16      32     64
