     res  record          opponent                         method                               event  round                               location
0    win  12 - 8        amr wahman                  tko (punches)                               sfl 4      1                         mumbai , india
1    win  11 - 8   quinton arendse                   ko (punches)                               sfl 3      1                new delhi , delhi india
2   loss  10 - 8    joachim hansen            submission (armbar)                              dream5      1                osaka - jo hall , japan
3   loss  10 - 7  tatsuya kawajiri           decision (unanimous)                              dream1      2                        saitama , japan
4    win  10 - 6      hideo tokoro                  tko (punches)                           hero 's 9      1                       yokohama , japan
5   loss   9 - 6   kazuyuki miyata  submission (guillotine choke)                           hero 's 8      1                         nagoya , japan
6   loss   9 - 5      rodrigo damm  submission (rear naked choke)          bodogfight - st petersburg      2                 st petersburg , russia
7   loss   9 - 4          caol uno  submission (rear naked choke)                           hero 's 6      2                          tokyo , japan
8    win   9 - 3      hideo tokoro                      ko (knee)                           hero 's 5      1                          tokyo , japan
9   loss   8 - 3     daisuke sugie    submission (triangle choke)              shooto - gig central 8      1                         nagoya , japan
10   win   8 - 2  harris sarmiento  submission (rear naked choke)                      sb 39: destiny      3                 hawaii , united states
11  loss   7 - 2     fabio holanda            submission (kimura)                tko major league mma      1                        quebec , canada
12   win   7 - 1        dave rivas  submission (rear naked choke)                        pxc 2: chaos      2                                   guam
13   win   6 - 1     donald ouimet  submission (rear naked choke)                  ucc 12: adrenaline      1                        quebec , canada
14   win   5 - 1       kevin dolan                  tko (strikes)         mixed fighting championship      1                       alberta , canada
15   win   4 - 1     dave scholten  submission (rear naked choke)          world freestyle fighting 3      1  vancouver , british columbia , canada
16  loss   3 - 1      yves edwards         submission (heel hook)                            shogun 1      2                 hawaii , united states
17   win   3 - 0  trevor michaelis  submission (rear naked choke)  ufcf - everett extreme challenge 4      1   everett , washington , united states
18   win   2 - 0         dan shenk  submission (rear naked choke)     western freestyle championships      1              british columbia , canada
19   win   1 - 0        jr wallace           decision (unanimous)          western canada 's toughest      3     vernon , british columbia , canada
