                                             date            presenter                    guest 1              guest 2                guest 3                  guest 4
0                                       18 august         colin murray               john rawling        neil delamere             greg brady  clarke carlisle (debut)
1                                       25 august          gabby logan                  des kelly      dougie anderson             paul sinha           dietmar hamann
2                                     1 september         colin murray                brian reade            simon day          martin kelner    etienne stott (debut)
3                                     8 september         colin murray                   tom watt            ian moore         gary gillespie    charlie baker (debut)
4                                    15 september         colin murray                  des kelly            andy dunn       justin moorhouse        ed clancy (debut)
5                                    22 september         colin murray               jim smallman        martin kelner             greg brady            robbie savage
6                                    29 september         colin murray               henning wehn         john rawling        katharine merry                bob mills
7                                       6 october         colin murray            dougie anderson        neil delamere  richard osman (debut)             dominic cork
8   13 october live from the crucible , sheffield         colin murray               john rawling            simon day              des kelly            martin kelner
9                                      20 october         colin murray                  jim white             tom watt   chris martin (debut)               phil brown
10                                     27 october         colin murray                 greg brady            gail emms              andy dunn         justin moorhouse
11                                     3 november         colin murray    sara winterburn (debut)      dougie anderson         dietmar hamann                ian stone
12                                    10 november         colin murray         jennie gow (debut)          steve bunce           john rawling             henning wehn
13                                    17 november         colin murray       adam richman (debut)          mark watson          neil delamere            martin kelner
14                                    24 november         colin murray                  des kelly      katharine merry              andy dunn                bob mills
15                                     1 december         colin murray            dougie anderson         paul mcveigh             eddie kadi               greg brady
16                                     8 december         colin murray               john rawling          brian reade         gary gillespie                ian stone
17                                    15 december         colin murray                   tom watt        martin kelner              ian moore           dietmar hamann
18                                    22 december         colin murray                  jim white        charlie baker          richard osman               phil brown
19                     29 december review of 2012         colin murray                  bob mills        martin kelner               tom watt               greg brady
20                                      5 january         nick hancock                steve bunce         perry groves       justin moorhouse          katharine merry
21                                     12 january  christian o'connell                 greg brady         andy parsons        dougie anderson             john rawling
22                                     19 january         colin murray            eleanor oldroyd           kit symons              andy dunn                simon day
23                                     26 january         colin murray              richard osman        martin kelner             phil brown            kevin bridges
24                                     2 february         colin murray               john rawling  brian noble (debut)             greg brady    carl donnelly (debut)
25                                     9 february         colin murray                danny mills            bob mills            brian reade                 tom watt
26                                    16 february   greg james (debut)            dougie anderson     justin moorhouse        darren fletcher  matthew hoggard (debut)
27                                    23 february         colin murray      kevin kilbane (debut)            jim white          charlie baker            martin kelner
28                                        2 march         colin murray               john rawling            gail emms              andy dunn               eddie kadi
29                         9 march ladies special         colin murray            eleanor oldroyd      katharine merry             jennie gow  kelly sotherton (debut)
30                                       16 march         colin murray            dougie anderson         steve lamacq             paul sinha               phil brown
31                                       23 march         nick hancock              martin kelner    christian malcolm              ian stone               greg brady
32                                       30 march         colin murray                  bob mills         john rawling      cornelius lysaght     louise hazel (debut)
33                                        6 april         colin murray                   tom watt          brian noble          richard osman             chris martin
34                                       13 april         colin murray  rebecca adlington (debut)         will buckley          martin kelner            neil delamere
35                                       20 april         colin murray               henning wehn      dougie anderson        eleanor oldroyd     nathan caton (debut)
36                          27 april food special         colin murray       simon rimmer (debut)  sean wilson (debut)            danny mills         justin moorhouse
37                                          4 may         colin murray               john rawling        iyare igiehon            brian reade                ian moore
38                                         11 may         colin murray            katharine merry           greg brady        darren fletcher             jim smallman
39                                         18 may         colin murray               louise hazel            ian stone               tom watt          dougie anderson
