    year               album                                     record label               info                                music
0   2013  cut like a diamond                  replay music / sony music india          tracks 10                    partners in rhyme
1   2011           maharajas           moviebox / speed records / music waves          tracks 12                    sukshinder shinda
2   2008               rambo        moviebox / speed records / planet recordz          tracks 11                    sukshinder shinda
3   2005               romeo                    moviebox / tips / music waves          tracks 10                    sukshinder shinda
4   2002           tera roop                    moviebox / tips / music waves           tracks 9                    sukshinder shinda
5   2001    oh kedi oh kehri                    moviebox / music waves / tips  tracks 8 tracks 8                    sukshinder shinda
6   2000  stayin' real surma                kiss records / music waves / tips  tracks 9 tracks 8  sukshinder shinda sukshinder shinda
7   1999      all eyez on me  kiss records / supertone melodies / music waves           tracks 9                    sukshinder shinda
8   1997   folkal attraction  kiss records / supertone melodies / music waves           tracks 8                    sukshinder shinda
9   1995       folk 'n funky  kiss records / supertone melodies / music waves           tracks 8                    sukshinder shinda
10  1994  the canadian spice                               supertone melodies          tracks 11                    sukshinder shinda
11  1993    ghugian da jorra                kiss records / supertone melodies           tracks 8                    sukshinder shinda
