                  driver           constructor  laps    time / retired  grid
0         lewis hamilton    mclaren - mercedes    70       1:44:11.292     1
1          nick heidfeld            bmw sauber    70           + 4.343     3
2         alexander wurz     williams - toyota    70           + 5.325    19
3      heikki kovalainen               renault    70           + 6.729    22
4         kimi räikkönen               ferrari    70          + 13.007     4
5            takuma sato   super aguri - honda    70          + 16.698    11
6        fernando alonso    mclaren - mercedes    70          + 21.936     2
7        ralf schumacher                toyota    70          + 22.888    18
8            mark webber    red bull - renault    70          + 22.960     6
9           nico rosberg     williams - toyota    70          + 23.984     7
10      anthony davidson   super aguri - honda    70          + 24.318    17
11    rubens barrichello                 honda    70          + 30.439    13
12          jarno trulli                toyota    58          accident    10
13     vitantonio liuzzi  toro rosso - ferrari    54          accident    12
14     christijan albers      spyker - ferrari    47  collision damage    21
15       david coulthard    red bull - renault    36           gearbox    14
16         robert kubica            bmw sauber    26          accident     8
17          adrian sutil      spyker - ferrari    21          accident    20
18           scott speed  toro rosso - ferrari     8         collision    16
19         jenson button                 honda     0           gearbox    15
20          felipe massa               ferrari    51      disqualified     5
21  giancarlo fisichella               renault    51      disqualified     9
