                        race             circuit          date       pole position        fastest lap      winning driver     constructor tyre  report
0       argentine grand prix        buenos aires    13 january     ronnie peterson     clay regazzoni         denny hulme  mclaren - ford    g  report
1       brazilian grand prix          interlagos    27 january  emerson fittipaldi     clay regazzoni  emerson fittipaldi  mclaren - ford    g  report
2   south african grand prix             kyalami      30 march          niki lauda   carlos reutemann    carlos reutemann  brabham - ford    g  report
3         spanish grand prix              jarama      28 april          niki lauda         niki lauda          niki lauda         ferrari    g  report
4         belgian grand prix  nivelles - baulers        12 may      clay regazzoni        denny hulme  emerson fittipaldi  mclaren - ford    g  report
5          monaco grand prix              monaco        26 may          niki lauda    ronnie peterson     ronnie peterson    lotus - ford    g  report
6         swedish grand prix          anderstorp        9 june   patrick depailler  patrick depailler      jody scheckter  tyrrell - ford    g  report
7           dutch grand prix           zandvoort       23 june          niki lauda    ronnie peterson          niki lauda         ferrari    g  report
8          french grand prix     dijon - prenois        7 july          niki lauda     jody scheckter     ronnie peterson    lotus - ford    g  report
9         british grand prix        brands hatch       20 july          niki lauda         niki lauda      jody scheckter  tyrrell - ford    g  report
10         german grand prix         nürburgring      4 august          niki lauda     jody scheckter      clay regazzoni         ferrari    g  report
11       austrian grand prix      österreichring     18 august          niki lauda     clay regazzoni    carlos reutemann  brabham - ford    g  report
12        italian grand prix               monza   8 september          niki lauda        carlos pace     ronnie peterson    lotus - ford    g  report
13       canadian grand prix        mosport park  22 september  emerson fittipaldi         niki lauda  emerson fittipaldi  mclaren - ford    g  report
14  united states grand prix        watkins glen     6 october    carlos reutemann        carlos pace    carlos reutemann  brabham - ford    g  report
