    year    men 's singles    women 's singles                                 women 's doubles                         mixed doubles
0   1991  hermawan susanto        susi susanti                        kimiko jinnai hisako mori           thomas lund pernille dupont
1   1992   ardy b wiranata     yuliani sentosa                   gil young - ah shim eun - jung  pär - gunnar jönsson maria bengtsson
2   1993    hariyanto arbi        lim xiaoqing                 christine magnusson lim xiaoqing           denny kantono resiana zelin
3   1994    hariyanto arbi        susi susanti                              finarsih lili tampi        michael søgaard gillian gowers
4   1995  hermawan susanto        lim xiaoqing                    rikke olsen helene kirkegaard              jens eriksen rikke olsen
5   1997        peter gade      camilla martin                  park soo - hyun yim kyung - jin                    sandiarto finarsih
6   1998    no competition      no competition                                   no competition                        no competition
7   1999      fung permadi             dai yun                    helene kirkegaard rikke olsen                       liu yong ge fei
8   2000        peter gade          mia audina                   ra kyung - min chung jae - hee           michael søgaard rikke olsen
9   2001    no competition      no competition                                   no competition                        no competition
10  2002    taufik hidayat           wang chen  saralee thungthongkam sathinee chankrachangwong         tri kusharyanto emma ermawati
11  2003  wong choong hann          mia audina                   ra kyung - min lee kyung - won        kim dong - moon ra kyung - min
12  2004     lee chong wei          chie umezu                cheng wen - hsing chien yu - chin            koo kien keat wong pei tty
13  2005     lee hyun - il       tracey hallam                cheng wen - hsing chien yu - chin        tony gunawan cheng wen - hsing
14  2006           lin dan          zhang ning                   lee kyung - won lee hyo - jung          nova widianto lilyana natsir
15  2007  sony dwi kuncoro           wang chen                cheng wen - hsing chien yu - chin           flandy limpele vita marissa
16  2008     simon santoso        saina nehwal                cheng wen - hsing chien yu - chin            devin lahardi lita nurlita
17  2009  nguyen tien minh  cheng shao - chieh                            yang wei zhang jiewen         valiyaveetil diju jwala gutta
18  2010     simon santoso  cheng shao - chieh                    kim min - jung lee hyo - jung    hendra aprida gunawan vita marissa
19  2011    tommy sugiarto      sung ji - hyun                     ha jung - eun kim min - jung          ko sung - hyun eom hye - won
20  2012  nguyen tien minh      tai tzu - ying               pia zebadiah rizki amelia pradipta          muhammad rijal debby susanto
21  2013     shon wan - ho      sung ji - hyun                     jung kyung - eun kim ha - na        shin baek - cheol jang ye - na
