   round  pick            player    nationality            college
0      2    28        gene banks  united states               duke
1      2    30          ed rains  united states      south alabama
2      3    64         tom baker  united states   eastern kentucky
3      4    87      earl belcher  united states     st bonaventure
4      5   110       mike rhodes  united states         vanderbilt
5      6   133    norman shavers  united states      jackson state
6      7   156    mark minderman  united states  northern michigan
7      8   178   bob bartholomew  united states          san diego
8      9   199  leonel marquetti  united states            hampton
9     10   219      alvin brooks  united states              lamar
