            player  matches  inns  n / o  runs  high score  average  100  50  catches  stump
0   h j h marshall       11    21      1  1218         168    60.90    5   7        6      0
1       i j harvey        9    15      5   561         114    56.10    2   2        4      0
2     a p r gidman       16    31      6  1244         120    49.76    4   7        2      0
3     c m spearman       16    31      0  1370         192    44.19    6   2       18      0
4       kadeer ali       11    22      1   834         145    39.71    1   5        6      0
5     w p c weston       13    24      1   911         130    39.60    2   6        7      0
6    m a hardinges       11    15      2   444         107    34.15    2   1        0      0
7      s j adshead       16    28      5   687          79    29.86    0   4       47      2
8       c g taylor       14    27      0   705         121    26.11    1   4       12      0
9          j lewis       11    14      2   242          57    20.16    0   1        4      0
10   m g n windows        5     9      1   127          48    15.87    0   0        2      0
11      m c j ball       10    15      1   215          58    15.35    0   1       16      0
