    year               winner              jockey                 trainer                           owner     time
0   2013  stephanie 's kitten     julien leparoux        wayne m catalano              ken & sarah ramsey  1:37.94
1   2012        hungry island      john velazquez  claude r mcgaughey iii                emory a hamilton  1:36.20
2   2011               aviate     kent desormeaux               bill mott                 juddmonte farms  1:36.67
3   2010                phola   ramon a dominguez           todd pletcher  patterson / saufley / & others  1:38.35
4   2009           tizaqueena       jamie theriot         michael stidham                   darley stable  1:38.86
5   2008      bayou 's lassie         edgar prado             dale romans            jacks or better farm  1:37.70
6   2007      take the ribbon     rafael bejarano       wallace a dollase             eurowest bloodstock  1:36.89
7   2006            mirabilis      pat valenzuela        robert j frankel                 juddmonte farms  1:35.93
8   2005        miss terrible          alex solis            bradley ross                 j & g manoogian  1:35.89
9   2004            shaconage         brice blanc           mitch shirota               andrena van doren  1:36.10
10  2003            heat haze  jose valdivia , jr        robert j frankel                 khalid abdullah  1:39.96
11  2002              stylish        jerry bailey          william i mott           the thoroughbred corp  1:35.72
12  2001             iftiraas        jerry bailey          william i mott                   gary a tanaka  1:36.69
13  2000       don't be silly        jorge chavez       merrill r scherer          hall / lunch / scherer  1:34.78
14  1999          shires ende    john r velazquez         richard scherer               carolyn friedberg  1:35.43
