      district                 incumbent       party  first elected                                      results                                          candidates
0    florida 1               jeff miller  republican           2001                                 re - elected         jeff miller (r) 68.5% joe roberts (d) 31.5%
1    florida 2                allen boyd  democratic           1996                                 re - elected                            allen boyd (d) unopposed
2    florida 3             corrine brown  democratic           1992                                 re - elected                         corrine brown (d) unopposed
3    florida 4            ander crenshaw  republican           2000                                 re - elected        ander crenshaw (r) 69.7% bob harms (d) 30.3%
4    florida 6             cliff stearns  republican           1988                                 re - elected     cliff stearns (r) 59.9% dave bruderly (d) 40.1%
5    florida 7                 john mica  republican           1992                                 re - elected          john mica (r) 63.1% jack chagnon (d) 36.9%
6    florida 9         michael bilirakis  republican           1982                      retired republican hold  gus bilirakis (r) 55.9% phyllis busansky (d) 44.1%
7   florida 10                bill young  republican           1970                                 re - elected         bill young (r) 65.9% samm simpson (d) 34.1%
8   florida 11                 jim davis  democratic           1996  retired to run for governor democratic hold        kathy castor (d) 69.7% eddie adams (r) 30.3%
9   florida 14            connie mack iv  republican           2004                                 re - elected     connie mack iv (r) 64.4% robert neeld (d) 35.6%
10  florida 15               dave weldon  republican           1994                                 re - elected          dave weldon (r) 56.3% bob bowman (d) 43.7%
11  florida 17             kendrick meek  democratic           2002                                 re - elected                         kendrick meek (d) unopposed
12  florida 19             robert wexler  democratic           1996                                 re - elected                         robert wexler (d) unopposed
13  florida 20  debbie wasserman schultz  democratic           2004                                 re - elected              debbie wasserman schultz (d) unopposed
14  florida 23            alcee hastings  democratic           1992                                 re - elected                        alcee hastings (d) unopposed
