                                    district                      vacator                                    reason for change                       successor           date successor seated
0                               virginia 3rd  andrew jackson montague (d)                               died january 24 , 1937     dave e satterfield , jr (d)               november 2 , 1937
1                                 texas 10th         james p buchanan (d)                              died february 22 , 1937            lyndon b johnson (d)                 april 10 , 1937
2                            california 10th           henry e stubbs (d)                              died february 28 , 1937            alfred j elliott (d)                    may 4 , 1937
3                          pennsylvania 18th         benjamin k focht (r)                                 died march 27 , 1937           richard m simpson (r)                   may 11 , 1937
4                              new york 27th         philip a goodwin (r)                                   died june 6 , 1937         lewis k rockefeller (r)               november 2 , 1937
5                          massachusetts 7th   william p connery , jr (d)                                  died june 15 , 1937          lawrence j connery (d)             september 28 , 1937
6                              new york 17th        theodore a peyser (d)                                 died august 8 , 1937              bruce f barton (r)               november 2 , 1937
7                               oklahoma 5th            robert p hill (d)                               died october 29 , 1937        gomer griffith smith (d)              december 10 , 1937
8                             new jersey 9th          edward a kenney (d)                               died january 27 , 1938  vacant until the next congress  vacant until the next congress
9                            california 17th         charles j colden (d)                                 died april 15 , 1938  vacant until the next congress  vacant until the next congress
10                         new hampshire 1st           arthur b jenks (r)                lost contested election june 9 , 1938                alphonse roy (d)                   june 9 , 1938
11                        south carolina 6th          allard h gasque (d)                                  died june 17 , 1938     elizabeth hawley gasque (d)             september 13 , 1937
12                              new york 1st           robert l bacon (r)                             died september 12 , 1938  vacant until the next congress  vacant until the next congress
13  resident commissioner of the philippines        quintin paredes (nac)                         resigned september 29 , 1938  joaquã­n miguel elizalde (nac)             september 29 , 1938
14                             new york 15th            john j boylan (d)                                died october 5 , 1938  vacant until the next congress  vacant until the next congress
15                             new york 42nd             james m mead (d)  resigned december 2 , 1938 to run for the us senate  vacant until the next congress  vacant until the next congress
