     rank          nation  gold  silver  bronze  total
0       1     south korea    11       1       1     13
1       2           spain     3       1       2      6
2       3  chinese taipei     1       1       2      4
3       4          france     1       0       1      2
4       5          turkey     0       2       3      5
5       6          mexico     0       2       2      4
6       7          canada     0       2       1      3
7       7          greece     0       2       1      3
8       9          brazil     0       2       0      2
9      10       venezuela     0       1       1      2
10     11         denmark     0       1       0      1
11     11       indonesia     0       1       0      1
12     13   united states     0       0       4      4
13     14           egypt     0       0       2      2
14     14         germany     0       0       2      2
15     16       argentina     0       0       1      1
16     16        colombia     0       0       1      1
17     16          cyprus     0       0       1      1
18     16         finland     0       0       1      1
19     16        malaysia     0       0       1      1
20     16     netherlands     0       0       1      1
21     16         nigeria     0       0       1      1
22     16     philippines     0       0       1      1
23     16     puerto rico     0       0       1      1
24     16          sweden     0       0       1      1
25  total           total    16      16      32     64
