                 team     location           venue  capacity  position in 2004
0        dinamo minsk        minsk  dinamo , minsk     41040                 1
1                bate      borisov    city stadium      5500                 2
2           shakhtyor    soligorsk        stroitel      5000                 3
3             torpedo      zhodino         torpedo      3020                 4
4               gomel        gomel         central     11800                 5
5               neman       grodno           neman      6300                 7
6        dinamo brest        brest   osk brestskiy     10080                 8
7   dnepr - transmash      mogilev         spartak     11200                 9
8              naftan  novopolotsk          atlant      6500                10
9              darida  minsk raion          darida      6000                11
10             slavia        mozyr          yunost      5500                12
11       zvezda - bgu        minsk         traktor     17600                13
12         mtz - ripo        minsk         traktor     17600                14
13          lokomotiv        minsk       lokomotiv       800  first league , 1
