          district         incumbent       party  first elected                              result                                         candidates
0   pennsylvania 6        hugh scott  republican           1946                        re - elected  hugh scott (r) 50.6% alexander hemphill (d) 49.4%
1   pennsylvania 8       karl c king  republican           1951                        re - elected      karl c king (r) 51.2% john p fullam (d) 48.8%
2   pennsylvania 9      paul b dague  republican           1946                        re - elected   paul b dague (r) 62.7% edward g wilson (d) 37.3%
3  pennsylvania 12     ivor d fenton  republican           1938                        re - elected   ivor d fenton (r) 55.5% charles e lotz (d) 44.5%
4  pennsylvania 15  francis e walter  democratic           1932                        re - elected  francis e walter (d) 61.6% leroy mikels (r) 38.4%
5  pennsylvania 17        alvin bush  republican           1950                        re - elected     alvin bush (r) 56.5% william t longe (d) 43.5%
6  pennsylvania 22     john p saylor  republican           1949                        re - elected   john p saylor (r) 51.9% robert s glass (d) 48.1%
7  pennsylvania 23      leon h gavin  republican           1942                        re - elected       leon h gavin (r) 61.9% fred c barr (d) 38.1%
8  pennsylvania 25    louis e graham  republican           1938  lost re - election democratic gain   frank m clark (d) 53.5% louis e graham (r) 46.5%
9  pennsylvania 26   thomas e morgan  democratic           1944                        re - elected  thomas e morgan (d) 65.3% branko stupar (r) 34.7%
