   position                           team  points  played  drawn  lost  against
0         1                     paulistano      15       9      3     0        7
1         2                       hespanha      13       9      1     2       16
2         3                       paulista      11       9      1     3       20
3         4                   aa são bento      11       9      1     3       11
4         5                        germnia      10       9      2     3       22
5         6                   aa palmeiras       8       9      2     4       23
6         7  sc internacional de são paulo       7       9      1     5       20
7         8              atlético santista       7       9      1     5       18
8         9                      antártica       5       9      1     6       33
9        10                      sant'anna       3       9      1     7       21
